Time(min),Input11,Input01,Input10,Input00,Input11std,Input01std,Input10std,Input00std
0,72.69155206,64.74820144,66.66666667,106.4220183,2.064503809,22.08664752,48.52721667,35.2549394
10,110.6941839,96.55172414,88.67924528,56.04203152,19.47753257,14.33735098,28.96824415,10.11384776
20,129.8245614,88.4244373,82.3117338,106.9692058,11.42189014,12.49740369,17.07378871,5.605640586
30,262.6427406,268.5459941,105.4313099,107.5110457,53.20997699,35.06934082,23.11016411,29.27582194
40,509.8039216,435.6164384,98.55072464,85.90604027,50.83004676,48.47263873,31.09907412,16.91335905
50,833.3333333,668.7737042,131.7523057,69.65174129,65.82745192,58.01894244,11.67570925,2.655946878
60,1171.24183,902.9585799,148.2381531,76.21247113,83.81740051,80.18091059,22.97589949,8.438030337
70,1470.44335,1132.960894,199.1001125,79.14438503,84.20636706,104.3944277,18.1715681,10.63719338
80,1759.90676,1304.994687,241.343127,86.30952381,64.71766001,109.7249613,13.17529534,16.43239562
90,2027.839644,1507.12831,265.1439921,79.01907357,48.86425142,117.8725053,11.9842177,17.3117504
100,2267.379679,1663.096397,343.6329588,76.34228188,38.793199,98.8043048,14.83662691,8.667521714
110,2517.948718,1842.49767,391.1894273,67.5990676,58.5075789,88.46725762,10.89849884,15.0100952
120,2740.375123,2008.057296,461.4747307,54.79452055,24.62514603,94.45584304,17.64640427,8.188588626
130,2942.015209,2200.516351,537.1965544,60.40268456,20.01879558,110.6115772,12.58350042,9.260287845
140,3150.458716,2367.634855,646.884273,55.52050473,14.28435734,108.020486,30.30835683,10.80286611
150,3373.558119,2553.685897,725.0883392,51.4354067,43.81327704,93.78932886,24.40132272,7.491393292
160,3614.125754,2728.748068,822.6997985,50.79908676,43.8118445,105.3894811,20.97308096,14.72595853
170,3853.67893,2916.041979,937.1391918,47.61904762,49.75856307,120.7638316,37.73843363,0.570301314
180,4107.66721,3095.272727,1052.243393,45.35864979,50.54715951,104.2595628,41.92472853,8.087303386
190,4339.697693,3284.707541,1159.976387,48.05725971,43.22626899,108.6738371,65.91842,4.793653992
200,4603.100775,3491.083676,1277.588168,50.57015369,58.66461321,123.0323461,56.46448037,9.518378398
210,4864.844343,3705.488621,1417.811985,50.19305019,47.24237765,137.9152707,80.66192713,4.650578088
220,5116.555308,3931.981687,1566.916488,48.49340866,59.49553083,144.6307462,75.28000538,2.816555952
230,5403.179191,4117.571885,1752.52257,47.88213628,60.23722131,157.6380344,79.07546055,4.472585632
240,5700.424929,4336.454432,1935.39916,56.38249887,87.75538641,168.2183149,77.27676007,10.08901403
250,5986.832987,4568.986569,2123.124677,50.11086475,21.86913285,180.8943165,88.49635923,3.398927747
260,6286.004057,4809.922295,2309.220581,53.6883457,78.07054626,216.623033,96.24229139,3.52333491
270,6578.982155,5033.450704,2495.739348,50.75268817,82.93380878,223.9402851,124.7275427,4.461021676
280,6867.227979,5246.84271,2691.133005,53.92781316,101.6657764,263.3286723,112.0933707,13.45341857
290,7232.051282,5474.337281,2869.249395,55.0883095,160.6144288,236.7554588,133.372687,6.810176449
300,7552.681388,5679.02601,3052.256532,63.33892617,148.0893859,275.8047226,117.2301353,1.687163776
310,7872.034956,5939.0642,3230.590423,64.20478389,188.4648386,296.0781703,150.3244479,7.759601768
320,8202.586207,6126.737968,3400.909091,71.8487395,184.030909,335.2469525,149.6212986,6.468144176
330,8486.914181,6356.728232,3551.202137,72.87278854,215.4813511,334.1198408,139.9623767,5.675963895
340,8882.211538,6611.807732,3730.047972,79.10321489,263.3467887,354.5754853,145.3695048,9.35141476
350,9188.915375,6896.26556,3898.886033,83.33333333,326.6725409,370.0087046,161.145762,1.405865105
360,9493.255132,7135.427394,4060.504202,80.66581306,360.9863969,370.5448966,159.5546318,3.911767414
370,9796.551724,7394.57523,4219.884488,85.40772532,395.0478555,398.0263458,171.4593816,11.05646003
380,10079.95495,7686.704024,4372.6607,90.63444109,468.7775778,400.8833587,187.3052932,4.548020425
390,10336.09272,7911.809427,4564.554932,99.43551889,415.2311924,370.01658,182.1272092,13.23515079
400,10613.9686,8175.874303,4718.35443,110.5769231,410.7962562,384.1764254,187.2945547,9.005914238
