,row,model_num,ic value,Evidence,d(ic value)
1610,536,3,362.7156618191384,Substantial support,0.0
1607,535,3,362.7156618191384,Substantial support,0.0
1604,534,3,363.23979495203884,Substantial support,0.5241331329004311
1601,533,3,363.23979495203884,Substantial support,0.5241331329004311
1598,532,3,366.8591818915672,Weak support,4.143520072428771
1580,526,3,370.6669156097585,Weak support,7.951253790620115
1583,527,3,370.6669156097585,Weak support,7.951253790620115
1589,529,3,370.6669156097585,Weak support,7.951253790620115
1592,530,3,370.6669156097585,Weak support,7.951253790620115
1595,531,3,370.6669156097585,Weak support,7.951253790620115
1586,528,3,370.6669156097585,Weak support,7.951253790620115
1577,525,3,371.7368477077324,Weak support,9.021185888594005
1562,520,3,371.7741833538225,Weak support,9.058521534684076
1574,524,3,371.7741833538225,Weak support,9.058521534684076
1568,522,3,371.7741833538225,Weak support,9.058521534684076
1571,523,3,371.7741833538225,Weak support,9.058521534684076
1565,521,3,371.7741833538225,Weak support,9.058521534684076
1559,519,3,371.85712536804544,Weak support,9.14146354890704
1553,517,3,374.69138951748835,No support,11.975727698349942
1541,513,3,374.69138951748835,No support,11.975727698349942
1556,518,3,374.69138951748835,No support,11.975727698349942
1550,516,3,374.69138951748835,No support,11.975727698349942
1544,514,3,374.69138951748835,No support,11.975727698349942
1547,515,3,374.69138951748835,No support,11.975727698349942
1538,512,3,374.7379762711694,No support,12.022314452030969
1535,511,3,374.7379762711694,No support,12.022314452030969
1532,510,3,374.7379762711694,No support,12.022314452030969
1529,509,3,374.7379762711694,No support,12.022314452030969
1526,508,3,376.2224559876287,No support,13.506794168490273
1523,507,3,376.2885372030264,No support,13.572875383888004
1517,505,3,376.2885372030264,No support,13.572875383888004
1520,506,3,376.2885372030264,No support,13.572875383888004
1514,504,3,376.2885372030264,No support,13.572875383888004
1511,503,3,376.2885372030264,No support,13.572875383888004
1508,502,3,376.2885372030264,No support,13.572875383888004
1505,501,3,376.46507949127306,No support,13.749417672134655
1499,499,3,388.0629425054501,No support,25.347280686311706
1502,500,3,388.0629425054501,No support,25.347280686311706
1496,498,3,394.23716743952184,No support,31.521505620383437
1487,495,3,395.6266579025086,No support,32.91099608337021
1490,496,3,395.6266579025086,No support,32.91099608337021
