Time(min),25nM,12.5nM,6.25nM,3.125nM,1.56nM,0nM,25nMstd,12.5nMstd,6.25nMstd,3.125nMstd,1.56nMstd,0nMstd
0.0,0.06666666666666667,0.066,0.06566666666666666,0.066,0.06533333333333334,0.06866666666666667,0.0005773502691896273,0.0,0.0005773502691896243,0.0009999999999999905,0.0015275252316519494,0.0037859388972001752
10.0,0.07233333333333333,0.07133333333333335,0.07066666666666667,0.07066666666666667,0.06999999999999999,0.07300000000000001,0.0005773502691896344,0.0005773502691896273,0.0005773502691896443,0.0015275252316519564,0.0020000000000000174,0.003605551275463982
20.0,0.08033333333333333,0.07933333333333333,0.07766666666666666,0.07733333333333335,0.07733333333333332,0.08066666666666665,0.0005773502691896302,0.0011547005383792585,0.0005773502691896103,0.0005773502691896243,0.0011547005383792377,0.0037859388972001817
30.0,0.08933333333333333,0.08900000000000001,0.08666666666666667,0.08533333333333333,0.08633333333333333,0.08933333333333333,0.0005773502691896293,0.0010000000000000096,0.0011547005383792566,0.0011547005383792496,0.0011547005383792496,0.0032145502536643235
40.0,0.09966666666666667,0.09966666666666667,0.09833333333333334,0.09600000000000002,0.09633333333333334,0.09999999999999998,0.0005773502691896443,0.0005773502691896443,0.0005773502691896243,0.0010000000000000252,0.001527525231651945,0.003464101615137748
50.0,0.11266666666666665,0.11366666666666665,0.11199999999999999,0.10933333333333332,0.11099999999999999,0.11299999999999999,0.0011547005383792466,0.0015275252316519412,9.813077866773595e-18,0.0011547005383792596,0.003605551275463987,0.003605551275463987
60.0,0.12566666666666668,0.12733333333333333,0.12466666666666666,0.12166666666666666,0.123,0.12633333333333333,0.0005773502691896383,0.0020816659994661504,0.0025166114784236104,0.0011547005383792544,0.0026457513110646007,0.0032145502536643027
70.0,0.14,0.14300000000000002,0.1396666666666667,0.13733333333333334,0.13933333333333334,0.1416666666666667,0.0017320508075688787,0.0010000000000000009,0.0025166114784235974,0.0015275252316519473,0.0015275252316519269,0.0037859388972001683
80.0,0.15466666666666665,0.15833333333333333,0.15566666666666668,0.15533333333333335,0.158,0.16066666666666665,0.002309401076758469,0.0011547005383792206,0.002516611478423623,0.0020816659994661447,0.0017320508075688449,0.0028867513459481316
90.0,0.16933333333333334,0.17533333333333334,0.17366666666666666,0.17400000000000002,0.17733333333333334,0.17899999999999996,0.0020816659994661035,0.004509249752822895,0.0035118845842842077,0.002645751311064593,0.0015275252316519473,0.0034641016151377574
100.0,0.18666666666666668,0.19133333333333336,0.19433333333333333,0.19699999999999998,0.19899999999999998,0.20099999999999998,0.004041451884327388,0.0037859388972001843,0.0035118845842842424,0.005291502622129173,0.0029999999999999923,0.0036055512754639783
110.0,0.20400000000000004,0.20833333333333334,0.21433333333333335,0.2186666666666667,0.22200000000000006,0.22233333333333336,0.0036055512754639865,0.0037859388972001787,0.0047258156262526135,0.0037859388972002047,0.005567764362830014,0.004163331998932222
120.0,0.22233333333333336,0.224,0.2363333333333333,0.24266666666666667,0.2456666666666667,0.246,0.005686240703077294,0.005291502622129166,0.007023769168568452,0.0047258156262525676,0.004932882862316219,0.004358898943540672
130.0,0.23900000000000002,0.2416666666666667,0.26066666666666666,0.269,0.27,0.27033333333333337,0.005567764362830051,0.005859465277082286,0.009073771725877467,0.007000000000000006,0.004582575694955844,0.004163331998932275
140.0,0.25666666666666665,0.259,0.28400000000000003,0.29266666666666663,0.295,0.2946666666666667,0.006027713773341707,0.007211102550927985,0.007549834435270751,0.006658328118479393,0.004358898943540639,0.003785938897200205
