,x,y
0,0.0,0.0
1,10.0,5.715691299744256e-07
2,20.0,1.0632925906237047e-06
3,30.0,1.486616475648808e-06
4,40.0,1.8509786917547557e-06
5,50.0,2.1646245117211135e-06
6,60.0,2.4345860568560756e-06
7,70.0,2.6669253048426353e-06
8,80.0,2.866900074138319e-06
9,90.0,3.039021339748112e-06
10,100.0,3.1871676730254005e-06
11,110.0,3.314680793583513e-06
12,120.0,3.4244206732979965e-06
13,130.0,3.518852136870456e-06
14,140.0,3.6001549156884378e-06
15,150.0,3.670139111537636e-06
16,160.0,3.7303791081790546e-06
17,170.0,3.782223640012676e-06
18,180.0,3.826842664832535e-06
19,190.0,3.865248354342357e-06
20,200.0,3.898303037438228e-06
21,210.0,3.926756110296994e-06
22,220.0,3.9512457585675304e-06
23,230.0,3.972324707632413e-06
24,240.0,3.990470319998911e-06
25,250.0,4.0060938015061195e-06
26,260.0,4.0195326630181975e-06
27,270.0,4.031102046269495e-06
28,280.0,4.041055723560404e-06
29,290.0,4.049621682043874e-06
30,300.0,4.056996240176055e-06
31,310.0,4.06334680335537e-06
32,320.0,4.068806284878474e-06
33,330.0,4.073506318921133e-06
34,340.0,4.077546870529448e-06
35,350.0,4.081024677440243e-06
36,360.0,4.084019316539595e-06
37,370.0,4.086593300769115e-06
38,380.0,4.088817937280585e-06
39,390.0,4.090732659167994e-06
40,400.0,4.092380258727603e-06
41,410.0,4.093801932392826e-06
42,420.0,4.095022285491664e-06
43,430.0,4.096073840655047e-06
44,440.0,4.09697823131573e-06
45,450.0,4.097755144777947e-06
46,460.0,4.0984262291066065e-06
47,470.0,4.099002717559042e-06
48,480.0,4.099498779790667e-06
49,490.0,4.0999268873140215e-06
50,500.0,4.100294215573927e-06
51,510.0,4.100608692118509e-06
52,520.0,4.1008830192086415e-06
53,530.0,4.101117268182924e-06
54,540.0,4.101319396818665e-06
55,550.0,4.101494425090469e-06
56,560.0,4.101646423192503e-06
57,570.0,4.101778194256779e-06
58,580.0,4.10189105104341e-06
59,590.0,4.101987105378596e-06
60,600.0,4.102070182312841e-06
