Time(min),Input0,Input1,Input0std,Input1std
0,0.00016846,0.000161602,2.42656E-06,5.65578E-06
10,0.000167085,0.000161316,9.37248E-07,2.93984E-06
20,0.000165045,0.000161799,9.19792E-07,3.40558E-06
30,0.000164916,0.000159818,2.76109E-06,4.09807E-06
40,0.000166218,0.000160482,3.24705E-06,3.47604E-06
50,0.00016536,0.00016029,4.98056E-07,1.84593E-06
60,0.000166295,0.000158921,1.28286E-06,1.6852E-06
70,0.000167914,0.000156211,3.47485E-07,1.96547E-06
80,0.000169219,0.00015522,1.3935E-06,2.12669E-06
90,0.000171648,0.000153744,1.396E-06,2.21795E-06
100,0.000174902,0.000150889,2.7224E-06,2.32802E-06
110,0.000177196,0.000146134,1.70335E-06,1.64034E-06
120,0.000180733,0.000144459,2.02147E-06,2.40607E-06
130,0.00018408,0.000139353,2.49997E-06,2.51892E-06
140,0.000186607,0.00013467,1.24595E-06,2.13632E-06
150,0.000190418,0.000127995,2.04816E-06,1.93858E-06
160,0.000192908,0.000123042,1.06684E-06,2.06101E-06
170,0.000194936,0.00011578,2.64642E-06,2.01904E-06
180,0.000196874,0.000109852,1.85434E-06,1.25915E-06
190,0.000198203,0.000103025,2.66398E-06,5.71151E-07
200,0.000198726,9.77141E-05,3.28476E-06,1.1384E-06
210,0.000200427,9.3045E-05,3.31294E-06,5.78698E-07
220,0.000201225,8.85273E-05,3.41525E-06,1.29027E-06
230,0.000202975,8.37401E-05,3.99973E-06,1.37924E-06
240,0.000202545,7.96131E-05,4.00629E-06,1.42831E-06
250,0.000202647,7.49838E-05,4.7251E-06,9.48928E-07
260,0.000202556,7.13351E-05,4.4824E-06,1.10681E-06
270,0.000201896,6.78329E-05,4.34397E-06,1.03793E-06
280,0.000200667,6.45786E-05,3.83979E-06,8.4807E-07
290,0.000198866,6.20289E-05,3.96017E-06,9.09594E-07
300,0.000198429,5.92517E-05,3.44663E-06,9.92515E-07
310,0.000197199,5.69902E-05,3.69322E-06,7.97932E-07
320,0.000196118,5.47006E-05,3.2107E-06,9.836E-07
330,0.000195289,5.21957E-05,3.94781E-06,1.00343E-06
340,0.000194393,5.02147E-05,4.10837E-06,1.20574E-06
350,0.00019349,4.79552E-05,3.72995E-06,1.13644E-06
360,0.000193588,4.60611E-05,3.81588E-06,1.10776E-06
370,0.000194484,4.45357E-05,3.91394E-06,1.19331E-06
380,0.000194191,4.26474E-05,3.95898E-06,7.25679E-07
390,0.000194167,4.1131E-05,3.69636E-06,7.72458E-07
400,0.000194554,3.97833E-05,2.62381E-06,8.68741E-07
410,0.000193941,3.88771E-05,2.85074E-06,9.5115E-07
420,0.000193878,3.8028E-05,3.24365E-06,8.92062E-07
430,0.000194765,3.75395E-05,2.78016E-06,9.22365E-07
440,0.000194171,3.69975E-05,3.04043E-06,1.18833E-06
450,0.000194608,3.65429E-05,3.42828E-06,9.55894E-07
460,0.000194355,3.60401E-05,3.40368E-06,1.23343E-06
470,0.000195375,3.58244E-05,3.31324E-06,1.12534E-06
480,0.000195299,3.55756E-05,3.52927E-06,1.01531E-06
490,0.000194827,3.52445E-05,3.18079E-06,9.79761E-07
500,0.000194472,3.49612E-05,3.70341E-06,9.29435E-07
510,0.000195622,3.49876E-05,3.77066E-06,8.81539E-07
520,0.000195831,3.50249E-05,3.9053E-06,9.18366E-07
530,0.000196442,3.49243E-05,3.98203E-06,9.50493E-07
540,0.000197493,3.48812E-05,4.34979E-06,9.01507E-07
550,0.000197681,3.45961E-05,2.97448E-06,8.29371E-07
560,0.000197929,3.44027E-05,3.39774E-06,7.17897E-07
570,0.000199923,3.44226E-05,3.83076E-06,6.37971E-07
580,0.000201364,3.44252E-05,4.06592E-06,6.59129E-07
590,0.000202479,3.43509E-05,3.39255E-06,5.85187E-07
600,0.000203488,3.4064E-05,3.40962E-06,5.83082E-07
610,0.00020434,3.40731E-05,2.72869E-06,6.17605E-07
620,0.000204959,3.37817E-05,3.80955E-06,4.85779E-07
630,0.000206664,3.38718E-05,2.94705E-06,5.34223E-07
640,0.000207477,3.38044E-05,3.21857E-06,5.66857E-07
650,0.000208308,3.3698E-05,3.25478E-06,4.2834E-07
660,0.000209529,3.34658E-05,3.17322E-06,4.15438E-07
670,0.000211063,3.3621E-05,2.91145E-06,5.28372E-07
680,0.000213238,3.38056E-05,3.01634E-06,4.88747E-07
690,0.000214781,3.36675E-05,3.46067E-06,5.01102E-07
700,0.000215438,3.36045E-05,3.1676E-06,4.59689E-07
710,0.000216847,3.36899E-05,2.67769E-06,4.37615E-07
720,0.000217297,3.36907E-05,3.34911E-06,4.51441E-07
