Time(min),0um,1.56um,3.1um,6.125um,12.5um,25um,50um,100um,500um,0umstd,1.56umstd,3.1umstd,6.125umstd,12.5umstd,25umstd,50umstd,100umstd,500umstd
0,0.046,0.048666667,0.047333333,0.049,0.052333333,0.051666667,0.051666667,0.050666667,0.052,0.001,0.00057735,0.001527525,0.001,0.001154701,0.00057735,0.00057735,0.001527525,0.001
10.06666668,0.051,0.053,0.052333333,0.053666667,0.057,0.057333333,0.057333333,0.056,0.057,0.001732051,0.001732051,0.002081666,0.001527525,0.001732051,0.001154701,0.00057735,0.001732051,0.001732051
20.08333332,0.056333333,0.058,0.057666667,0.059,0.062333333,0.063,0.061666667,0.061666667,0.063,0.002081666,0.002645751,0.002516611,0.002645751,0.002886751,0.001732051,0.001527525,0.002309401,0.001732051
30.06666666,0.063333333,0.066,0.064666667,0.066666667,0.07,0.07,0.07,0.068666667,0.070666667,0.002081666,0.003,0.002516611,0.002309401,0.001732051,0.002,0.002,0.001527525,0.001527525
40.08333336,0.073,0.076,0.074,0.077,0.080333333,0.079666667,0.080666667,0.079,0.081333333,0.001,0.001732051,0.001,1.39E-17,0.00057735,0.00057735,0.001527525,1.39E-17,0.00057735
50.08333332,0.082,0.085666667,0.085333333,0.086333333,0.089666667,0.089666667,0.089666667,0.088666667,0.091,0.001,0.002081666,0.002309401,0.001154701,0.00057735,0.00057735,0.00057735,0.00057735,1.39E-17
60.06666666,0.091,0.094666667,0.093,0.095,0.099,0.098666667,0.098333333,0.097666667,0.101,0.001732051,0.002081666,0.003,0.001732051,0.001732051,0.00057735,0.00057735,0.00057735,0.001
70.08333336,0.102666667,0.106666667,0.105666667,0.108666667,0.111333333,0.111,0.111,0.11,0.113666667,0.002309401,0.001154701,0.001527525,0.001527525,0.001154701,0.001,0,0,0.001527525
80.06666664,0.115333333,0.119333333,0.118,0.120333333,0.125666667,0.124666667,0.123666667,0.124,0.126333333,0.002081666,0.001527525,0.002645751,0.001154701,0.002081666,0.00057735,0.00057735,0.001732051,0.001527525
90.06666666,0.130333333,0.133333333,0.131666667,0.135,0.138666667,0.139666667,0.138333333,0.138666667,0.140666667,0.00305505,0.002516611,0.001527525,0.001,0.001527525,0.00057735,0.001154701,0.001527525,0.001154701
100.0833334,0.145666667,0.149666667,0.148,0.152666667,0.157,0.154333333,0.155,0.154,0.157666667,0.003511885,0.003511885,0.004,0.002516611,0.003,0.00057735,0.001732051,0.001,0.001154701
110.0666666,0.162666667,0.167666667,0.165333333,0.17,0.173666667,0.173666667,0.172666667,0.171666667,0.174,0.003511885,0.00305505,0.001527525,0.003,0.001527525,0.00057735,0.002516611,0.001527525,0.001732051
120.0666667,0.181,0.186333333,0.183666667,0.188666667,0.193333333,0.192666667,0.193,0.188666667,0.190333333,0.003605551,0.00305505,0.003511885,0.002081666,0.001527525,0.001527525,0.002645751,0.001527525,0.00057735
130.0833334,0.2,0.204666667,0.202666667,0.207,0.211333333,0.211333333,0.211333333,0.207666667,0.207,0.003605551,0.00321455,0.00321455,0.001,0.00057735,0.001527525,0.00321455,0.002309401,0.001
