Time(min),0um,1.56um,3.1um,6.125um,12.5um,25um,50um,100um,500um,0umstd,1.56umstd,3.1umstd,6.125umstd,12.5umstd,25umstd,50umstd,100umstd,500umstd
0.0,9.449228116178259e-09,4.134037300827988e-09,4.134037300827988e-09,4.7246140580891294e-09,4.134037300827988e-09,4.7246140580891294e-09,5.905767572611412e-09,4.7246140580891294e-09,2.9528837863057063e-09,1.0229089493455686e-09,1.0229089493455684e-09,1.0229089493455684e-09,2.0458178986911373e-09,1.0229089493455684e-09,1.0229089493455686e-09,1.0229089493455684e-09,1.0229089493455686e-09,1.0229089493455684e-09
10.06666667,8.858651358917118e-09,5.3151908153502714e-09,2.9528837863057063e-09,4.134037300827988e-09,4.7246140580891294e-09,4.7246140580891294e-09,4.7246140580891294e-09,3.5434605435668475e-09,4.7246140580891294e-09,1.7717302717834237e-09,1.7717302717834237e-09,1.0229089493455684e-09,1.0229089493455684e-09,1.0229089493455686e-09,2.0458178986911373e-09,1.0229089493455686e-09,1.7717302717834237e-09,2.0458178986911373e-09
20.08333333,8.858651358917118e-09,5.905767572611412e-09,5.3151908153502714e-09,4.7246140580891294e-09,4.7246140580891294e-09,4.7246140580891294e-09,7.086921087133695e-09,5.905767572611412e-09,1.1811535145222827e-08,1.7717302717834237e-09,1.0229089493455686e-09,1.7717302717834237e-09,2.706362693830741e-09,1.0229089493455684e-09,1.0229089493455686e-09,1.7717302717834237e-09,1.0229089493455686e-09,2.0458178986911373e-09
30.06666667,8.268074601655978e-09,5.905767572611412e-09,5.3151908153502714e-09,4.134037300827988e-09,4.7246140580891294e-09,6.496344329872553e-09,6.496344329872553e-09,1.0039804873439404e-08,3.189114489210163e-08,4.458756738640699e-09,2.706362693830741e-09,1.7717302717834237e-09,2.706362693830741e-09,1.0229089493455686e-09,2.0458178986911373e-09,1.0229089493455686e-09,2.0458178986911373e-09,1.7717302717834237e-09
40.08333333,8.858651358917118e-09,5.3151908153502714e-09,4.7246140580891294e-09,5.3151908153502714e-09,5.905767572611412e-09,6.496344329872553e-09,8.858651358917118e-09,2.0079609746878808e-08,7.559382492942606e-08,5.3151908153502714e-09,4.6875576894238176e-09,4.091635797382275e-09,3.5434605435668475e-09,2.706362693830741e-09,2.706362693830741e-09,3.5434605435668475e-09,2.706362693830741e-09,1.0229089493455695e-09
50.08333333,1.0630381630700543e-08,5.3151908153502714e-09,5.3151908153502714e-09,5.3151908153502714e-09,5.905767572611412e-09,7.086921087133695e-09,1.4764418931528532e-08,3.838748922197419e-08,1.4232899849993504e-07,5.3151908153502714e-09,4.6875576894238176e-09,3.5434605435668475e-09,1.7717302717834237e-09,2.706362693830741e-09,1.7717302717834237e-09,1.0229089493455686e-09,2.0458178986911373e-09,1.0229089493455668e-09
60.06666667,8.268074601655978e-09,5.3151908153502714e-09,4.134037300827988e-09,3.5434605435668475e-09,5.905767572611412e-09,8.858651358917118e-09,2.1260763261401086e-08,6.850690384229237e-08,2.3091551208910626e-07,4.458756738640699e-09,3.0687268480367053e-09,2.0458178986911373e-09,3.0687268480367053e-09,2.0458178986911373e-09,3.0687268480367053e-09,3.0687268480367053e-09,5.114544746727842e-09,3.6881506669964425e-09
70.08333333,8.858651358917118e-09,5.3151908153502714e-09,2.9528837863057063e-09,5.905767572611412e-09,6.496344329872553e-09,1.0630381630700543e-08,3.0119414620318206e-08,1.1280016063687796e-07,3.407627889396785e-07,3.5434605435668475e-09,1.7717302717834237e-09,2.0458178986911373e-09,2.706362693830741e-09,2.706362693830741e-09,1.7717302717834237e-09,1.7717302717834237e-09,8.183271594764547e-09,7.376301333992891e-09
80.06666667,8.858651358917118e-09,4.7246140580891294e-09,5.3151908153502714e-09,5.3151908153502714e-09,7.677497844394836e-09,1.358326541700625e-08,4.193094976554104e-08,1.6831437581942525e-07,4.636027544499959e-07,3.5434605435668475e-09,2.0458178986911373e-09,1.7717302717834237e-09,3.0687268480367053e-09,1.0229089493455684e-09,1.0229089493455684e-09,2.0458178986911373e-09,1.1064452000989329e-08,1.0074484786289162e-08
90.06666667,1.1220958387961682e-08,5.905767572611412e-09,5.3151908153502714e-09,6.496344329872553e-09,9.449228116178259e-09,1.7717302717834237e-08,5.8467098968852976e-08,2.350495493899342e-07,6.000259853773196e-07,4.091635797382274e-09,2.706362693830741e-09,3.5434605435668475e-09,2.706362693830741e-09,2.0458178986911373e-09,1.7717302717834237e-09,1.7717302717834237e-09,1.4320725290837957e-08,1.2444224457971887e-08
