,row,model_num,ic value,Evidence,d(ic value)
66,967,1,808.2350253617753,Substantial support,0.0
99,970,1,808.2350253617753,Substantial support,0.0
77,968,1,808.2350253617753,Substantial support,0.0
88,969,1,808.2350253617753,Substantial support,0.0
0,961,1,815.5221152504405,Weak support,7.28708988866515
33,964,1,815.5221152504405,Weak support,7.28708988866515
55,966,1,815.5221152504405,Weak support,7.28708988866515
11,962,1,815.5221152504405,Weak support,7.28708988866515
44,965,1,815.5221152504405,Weak support,7.28708988866515
22,963,1,815.5221152504405,Weak support,7.28708988866515
86,968,10,841.9540467262883,No support,33.71902136451297
64,966,10,841.9540467262883,No support,33.71902136451297
108,970,10,841.9540467262883,No support,33.71902136451297
97,969,10,841.9540467262883,No support,33.71902136451297
75,967,10,841.9540467262883,No support,33.71902136451297
53,965,10,843.3862551009526,No support,35.15122973917721
9,961,10,843.3862551009526,No support,35.15122973917721
31,963,10,843.3862551009526,No support,35.15122973917721
42,964,10,843.3862551009526,No support,35.15122973917721
20,962,10,843.3862551009526,No support,35.15122973917721
25,963,4,940.6587693755016,No support,132.42374401372626
58,966,4,940.6587693755016,No support,132.42374401372626
47,965,4,940.6587693755016,No support,132.42374401372626
69,967,4,940.6587693755016,No support,132.42374401372626
14,962,4,940.6587693755016,No support,132.42374401372626
80,968,4,940.6587693755016,No support,132.42374401372626
91,969,4,940.6587693755016,No support,132.42374401372626
3,961,4,940.6587693755016,No support,132.42374401372626
102,970,4,940.6587693755016,No support,132.42374401372626
36,964,4,940.6587693755016,No support,132.42374401372626
76,967,11,1024.0473881590578,No support,215.8123627972825
87,968,11,1024.0473881590578,No support,215.8123627972825
98,969,11,1024.0473881590578,No support,215.8123627972825
43,964,11,1024.0473881590578,No support,215.8123627972825
65,966,11,1024.0473881590578,No support,215.8123627972825
54,965,11,1024.0473881590578,No support,215.8123627972825
109,970,11,1024.0473881590578,No support,215.8123627972825
21,962,11,1024.0473881590578,No support,215.8123627972825
32,963,11,1024.0473881590578,No support,215.8123627972825
10,961,11,1024.0473881590578,No support,215.8123627972825
8,961,9,1039.9030780846947,No support,231.66805272291936
74,967,9,1039.9030780846947,No support,231.66805272291936
19,962,9,1039.9030780846947,No support,231.66805272291936
63,966,9,1039.9030780846947,No support,231.66805272291936
96,969,9,1039.9030780846947,No support,231.66805272291936
52,965,9,1039.9030780846947,No support,231.66805272291936
85,968,9,1039.9030780846947,No support,231.66805272291936
107,970,9,1039.9030780846947,No support,231.66805272291936
41,964,9,1039.9030780846947,No support,231.66805272291936
30,963,9,1039.9030780846947,No support,231.66805272291936
82,968,6,1042.377935319776,No support,234.1429099580007
16,962,6,1042.377935319776,No support,234.1429099580007
38,964,6,1042.377935319776,No support,234.1429099580007
71,967,6,1042.377935319776,No support,234.1429099580007
93,969,6,1042.377935319776,No support,234.1429099580007
104,970,6,1042.377935319776,No support,234.1429099580007
5,961,6,1042.377935319776,No support,234.1429099580007
60,966,6,1042.377935319776,No support,234.1429099580007
49,965,6,1042.377935319776,No support,234.1429099580007
27,963,6,1042.377935319776,No support,234.1429099580007
101,970,3,1050.524465877918,No support,242.28944051614258
90,969,3,1051.0685000926974,No support,242.83347473092203
79,968,3,1051.998197964985,No support,243.76317260320957
13,962,3,1051.998197964985,No support,243.76317260320957
35,964,3,1051.998197964985,No support,243.76317260320957
57,966,3,1051.998197964985,No support,243.76317260320957
68,967,3,1051.998197964985,No support,243.76317260320957
2,961,3,1051.998197964985,No support,243.76317260320957
46,965,3,1051.998197964985,No support,243.76317260320957
24,963,3,1051.998197964985,No support,243.76317260320957
103,970,5,1061.4167369191885,No support,253.1817115574131
48,965,5,1061.4167369191885,No support,253.1817115574131
81,968,5,1061.4167369191885,No support,253.1817115574131
37,964,5,1061.4167369191885,No support,253.1817115574131
59,966,5,1061.4167369191885,No support,253.1817115574131
92,969,5,1061.4167369191885,No support,253.1817115574131
15,962,5,1061.4167369191885,No support,253.1817115574131
70,967,5,1061.4167369191885,No support,253.1817115574131
26,963,5,1061.4167369191885,No support,253.1817115574131
4,961,5,1061.4167369191885,No support,253.1817115574131
100,970,2,1098.0170238394055,No support,289.78199847763017
78,968,2,1098.0170238394055,No support,289.78199847763017
89,969,2,1098.0170238394055,No support,289.78199847763017
94,969,7,1100.1389687773758,No support,291.90394341560045
105,970,7,1100.1389687773758,No support,291.90394341560045
72,967,7,1100.1389687773758,No support,291.90394341560045
83,968,7,1100.1389687773758,No support,291.90394341560045
39,964,7,1100.1389687773758,No support,291.90394341560045
50,965,7,1100.1389687773758,No support,291.90394341560045
61,966,7,1100.1389687773758,No support,291.90394341560045
28,963,7,1100.1389687773758,No support,291.90394341560045
17,962,7,1100.8039320518153,No support,292.56890669003997
51,965,8,1100.8174627334959,No support,292.5824373717205
84,968,8,1100.8174627334959,No support,292.5824373717205
95,969,8,1100.8174627334959,No support,292.5824373717205
62,966,8,1100.8174627334959,No support,292.5824373717205
106,970,8,1100.8174627334959,No support,292.5824373717205
73,967,8,1100.8174627334959,No support,292.5824373717205
40,964,8,1101.099877028471,No support,292.8648516666956
29,963,8,1106.2502904030816,No support,298.0152650413063
7,961,8,1106.2502904030816,No support,298.0152650413063
18,962,8,1106.2502904030816,No support,298.0152650413063
45,965,2,1109.9015695949608,No support,301.6665442331855
23,963,2,1109.9015695949608,No support,301.6665442331855
56,966,2,1109.9015695949608,No support,301.6665442331855
67,967,2,1109.9015695949608,No support,301.6665442331855
12,962,2,1109.9015695949608,No support,301.6665442331855
1,961,2,1109.9015695949608,No support,301.6665442331855
34,964,2,1109.9015695949608,No support,301.6665442331855
6,961,7,1113.7349243728931,No support,305.4998990111178
