Time(min),Input00,Input01,Input10,Input11,Input00std,Input01std,Input10std,Input11std
0,1,1,1,1,0.01,0.01,0.01,0.01
10,0.98475047,0.98475047,0.98475047,0.98475047,0.01,0.01,0.01,0.01
20,0.969733488,0.969733488,0.969733488,0.969733488,0.01,0.01,0.01,0.01
30,0.954945508,0.954945508,0.954945508,0.954945508,0.01,0.01,0.01,0.01
40,0.940383038,0.940383038,0.940383038,0.940383038,0.01,0.01,0.01,0.01
50,0.926042638,0.926042638,0.926042638,0.926042638,0.01,0.01,0.01,0.01
60,0.911920923,0.911920923,0.911920923,0.911920923,0.01,0.01,0.01,0.01
70,0.898014557,0.898014557,0.898014557,0.898014557,0.01,0.01,0.01,0.01
80,0.884320257,0.884320257,0.884320257,0.884320257,0.01,0.01,0.01,0.01
90,0.870834789,0.870834789,0.870834789,0.870834789,0.01,0.01,0.01,0.01
100,0.857554967,0.857554967,0.857554967,0.857554967,0.01,0.01,0.01,0.01
110,0.844477657,0.844477657,0.844477657,0.844477657,0.01,0.01,0.01,0.01
120,0.83159977,0.83159977,0.83159977,0.83159977,0.01,0.01,0.01,0.01
130,0.818918264,0.818918264,0.818918264,0.818918264,0.01,0.01,0.01,0.01
140,0.806430145,0.806430145,0.806430145,0.806430145,0.01,0.01,0.01,0.01
150,0.794132464,0.794132464,0.794132464,0.794132464,0.01,0.01,0.01,0.01
160,0.782022317,0.782022317,0.782022317,0.782022317,0.01,0.01,0.01,0.01
170,0.770096844,0.770096844,0.770096844,0.770096844,0.01,0.01,0.01,0.01
180,0.758353229,0.758353229,0.758353229,0.758353229,0.01,0.01,0.01,0.01
190,0.746788699,0.746788699,0.746788699,0.746788699,0.01,0.01,0.01,0.01
200,0.735400522,0.735400522,0.735400522,0.735400522,0.01,0.01,0.01,0.01
210,0.72418601,0.72418601,0.72418601,0.72418601,0.01,0.01,0.01,0.01
220,0.713142513,0.713142513,0.713142513,0.713142513,0.01,0.01,0.01,0.01
230,0.702267425,0.702267425,0.702267425,0.702267425,0.01,0.01,0.01,0.01
240,0.691558177,0.691558177,0.691558177,0.691558177,0.01,0.01,0.01,0.01
250,0.68101224,0.68101224,0.68101224,0.68101224,0.01,0.01,0.01,0.01
260,0.670627123,0.670627123,0.670627123,0.670627123,0.01,0.01,0.01,0.01
270,0.660400374,0.660400374,0.660400374,0.660400374,0.01,0.01,0.01,0.01
280,0.650329579,0.650329579,0.650329579,0.650329579,0.01,0.01,0.01,0.01
290,0.640412358,0.640412358,0.640412358,0.640412358,0.01,0.01,0.01,0.01
300,0.630646371,0.630646371,0.630646371,0.630646371,0.01,0.01,0.01,0.01
310,0.62102931,0.62102931,0.62102931,0.62102931,0.01,0.01,0.01,0.01
320,0.611558905,0.611558905,0.611558905,0.611558905,0.01,0.01,0.01,0.01
330,0.602232919,0.602232919,0.602232919,0.602232919,0.01,0.01,0.01,0.01
340,0.59304915,0.59304915,0.59304915,0.59304915,0.01,0.01,0.01,0.01
350,0.584005429,0.584005429,0.584005429,0.584005429,0.01,0.01,0.01,0.01
360,0.575099621,0.575099621,0.575099621,0.575099621,0.01,0.01,0.01,0.01
370,0.566329622,0.566329622,0.566329622,0.566329622,0.01,0.01,0.01,0.01
380,0.557693361,0.557693361,0.557693361,0.557693361,0.01,0.01,0.01,0.01
390,0.549188799,0.549188799,0.549188799,0.549188799,0.01,0.01,0.01,0.01
400,0.540813928,0.540813928,0.540813928,0.540813928,0.01,0.01,0.01,0.01
410,0.53256677,0.53256677,0.53256677,0.53256677,0.01,0.01,0.01,0.01
420,0.524445377,0.524445377,0.524445377,0.524445377,0.01,0.01,0.01,0.01
430,0.516447831,0.516447831,0.516447831,0.516447831,0.01,0.01,0.01,0.01
440,0.508572244,0.508572244,0.508572244,0.508572244,0.01,0.01,0.01,0.01
