Time(min),Input00,Input01,Input10,Input11,Input00std,Input01std,Input10std,Input11std
0,1,1,1,1,0.01,0.01,0.01,0.01
10,0.869619093,0.869619093,0.869619093,0.869619093,0.01,0.01,0.01,0.01
20,0.756237337,0.756237337,0.756237337,0.756237337,0.01,0.01,0.01,0.01
30,0.657638437,0.657638437,0.657638437,0.657638437,0.01,0.01,0.01,0.01
40,0.571894937,0.571894937,0.571894937,0.571894937,0.01,0.01,0.01,0.01
50,0.497330752,0.497330752,0.497330752,0.497330752,0.01,0.01,0.01,0.01
60,0.432488325,0.432488325,0.432488325,0.432488325,0.01,0.01,0.01,0.01
70,0.3761001,0.3761001,0.3761001,0.3761001,0.01,0.01,0.01,0.01
80,0.327063816,0.327063816,0.327063816,0.327063816,0.01,0.01,0.01,0.01
90,0.284420932,0.284420932,0.284420932,0.284420932,0.01,0.01,0.01,0.01
100,0.24733787,0.24733787,0.24733787,0.24733787,0.01,0.01,0.01,0.01
110,0.215089731,0.215089731,0.215089731,0.215089731,0.01,0.01,0.01,0.01
120,0.187046133,0.187046133,0.187046133,0.187046133,0.01,0.01,0.01,0.01
130,0.162658886,0.162658886,0.162658886,0.162658886,0.01,0.01,0.01,0.01
140,0.141451266,0.141451266,0.141451266,0.141451266,0.01,0.01,0.01,0.01
150,0.123008717,0.123008717,0.123008717,0.123008717,0.01,0.01,0.01,0.01
160,0.106970725,0.106970725,0.106970725,0.106970725,0.01,0.01,0.01,0.01
170,0.093023781,0.093023781,0.093023781,0.093023781,0.01,0.01,0.01,0.01
180,0.080895254,0.080895254,0.080895254,0.080895254,0.01,0.01,0.01,0.01
190,0.070348055,0.070348055,0.070348055,0.070348055,0.01,0.01,0.01,0.01
200,0.061176009,0.061176009,0.061176009,0.061176009,0.01,0.01,0.01,0.01
210,0.053199823,0.053199823,0.053199823,0.053199823,0.01,0.01,0.01,0.01
220,0.046263579,0.046263579,0.046263579,0.046263579,0.01,0.01,0.01,0.01
230,0.040231697,0.040231697,0.040231697,0.040231697,0.01,0.01,0.01,0.01
240,0.034986253,0.034986253,0.034986253,0.034986253,0.01,0.01,0.01,0.01
250,0.030424714,0.030424714,0.030424714,0.030424714,0.01,0.01,0.01,0.01
260,0.026457912,0.026457912,0.026457912,0.026457912,0.01,0.01,0.01,0.01
270,0.023008306,0.023008306,0.023008306,0.023008306,0.01,0.01,0.01,0.01
280,0.020008461,0.020008461,0.020008461,0.020008461,0.01,0.01,0.01,0.01
290,0.01739974,0.01739974,0.01739974,0.01739974,0.01,0.01,0.01,0.01
300,0.015131146,0.015131146,0.015131146,0.015131146,0.01,0.01,0.01,0.01
310,0.013158334,0.013158334,0.013158334,0.013158334,0.01,0.01,0.01,0.01
320,0.011442738,0.011442738,0.011442738,0.011442738,0.01,0.01,0.01,0.01
330,0.009950824,0.009950824,0.009950824,0.009950824,0.01,0.01,0.01,0.01
340,0.008653426,0.008653426,0.008653426,0.008653426,0.01,0.01,0.01,0.01
350,0.007525185,0.007525185,0.007525185,0.007525185,0.01,0.01,0.01,0.01
360,0.006544044,0.006544044,0.006544044,0.006544044,0.01,0.01,0.01,0.01
370,0.005690826,0.005690826,0.005690826,0.005690826,0.01,0.01,0.01,0.01
380,0.004948851,0.004948851,0.004948851,0.004948851,0.01,0.01,0.01,0.01
390,0.004303615,0.004303615,0.004303615,0.004303615,0.01,0.01,0.01,0.01
400,0.003742506,0.003742506,0.003742506,0.003742506,0.01,0.01,0.01,0.01
410,0.003254555,0.003254555,0.003254555,0.003254555,0.01,0.01,0.01,0.01
420,0.002830223,0.002830223,0.002830223,0.002830223,0.01,0.01,0.01,0.01
430,0.002461216,0.002461216,0.002461216,0.002461216,0.01,0.01,0.01,0.01
440,0.002140321,0.002140321,0.002140321,0.002140321,0.01,0.01,0.01,0.01
450,0.001861264,0.001861264,0.001861264,0.001861264,0.01,0.01,0.01,0.01
460,0.00161859,0.00161859,0.00161859,0.00161859,0.01,0.01,0.01,0.01
470,0.001407556,0.001407556,0.001407556,0.001407556,0.01,0.01,0.01,0.01
480,0.001224038,0.001224038,0.001224038,0.001224038,0.01,0.01,0.01,0.01
490,0.001064446,0.001064446,0.001064446,0.001064446,0.01,0.01,0.01,0.01
500,0.000925662,0.000925662,0.000925662,0.000925662,0.01,0.01,0.01,0.01
510,0.000804974,0.000804974,0.000804974,0.000804974,0.01,0.01,0.01,0.01
520,0.00070002,0.00070002,0.00070002,0.00070002,0.01,0.01,0.01,0.01
530,0.000608751,0.000608751,0.000608751,0.000608751,0.01,0.01,0.01,0.01
540,0.000529381,0.000529381,0.000529381,0.000529381,0.01,0.01,0.01,0.01
550,0.00046036,0.00046036,0.00046036,0.00046036,0.01,0.01,0.01,0.01
560,0.000400337,0.000400337,0.000400337,0.000400337,0.01,0.01,0.01,0.01
570,0.000348141,0.000348141,0.000348141,0.000348141,0.01,0.01,0.01,0.01
580,0.00030275,0.00030275,0.00030275,0.00030275,0.01,0.01,0.01,0.01
590,0.000263277,0.000263277,0.000263277,0.000263277,0.01,0.01,0.01,0.01
600,0.000228951,0.000228951,0.000228951,0.000228951,0.01,0.01,0.01,0.01
610,0.0001991,0.0001991,0.0001991,0.0001991,0.01,0.01,0.01,0.01
620,0.000173141,0.000173141,0.000173141,0.000173141,0.01,0.01,0.01,0.01
630,0.000150567,0.000150567,0.000150567,0.000150567,0.01,0.01,0.01,0.01
640,0.000130936,0.000130936,0.000130936,0.000130936,0.01,0.01,0.01,0.01
650,0.000113864,0.000113864,0.000113864,0.000113864,0.01,0.01,0.01,0.01
660,9.90184E-05,9.90184E-05,9.90184E-05,9.90184E-05,0.01,0.01,0.01,0.01
670,8.61082E-05,8.61082E-05,8.61082E-05,8.61082E-05,0.01,0.01,0.01,0.01
680,7.4881E-05,7.4881E-05,7.4881E-05,7.4881E-05,0.01,0.01,0.01,0.01
690,6.51178E-05,6.51178E-05,6.51178E-05,6.51178E-05,0.01,0.01,0.01,0.01
700,5.66281E-05,5.66281E-05,5.66281E-05,5.66281E-05,0.01,0.01,0.01,0.01
710,4.92453E-05,4.92453E-05,4.92453E-05,4.92453E-05,0.01,0.01,0.01,0.01
720,4.28251E-05,4.28251E-05,4.28251E-05,4.28251E-05,0.01,0.01,0.01,0.01
