Time(min),Input00,Input01,Input10,Input11,Input00std,Input01std,Input10std,Input11std
0,106.4220183,64.74820144,66.66666667,72.69155206,35.2549394,22.08664752,48.52721667,2.064503809
10,56.04203152,96.55172414,88.67924528,110.6941839,10.11384776,14.33735098,28.96824415,19.47753257
20,106.9692058,88.4244373,82.3117338,129.8245614,5.605640586,12.49740369,17.07378871,11.42189014
30,107.5110457,268.5459941,105.4313099,262.6427406,29.27582194,35.06934082,23.11016411,53.20997699
40,85.90604027,435.6164384,98.55072464,509.8039216,16.91335905,48.47263873,31.09907412,50.83004676
50,69.65174129,668.7737042,131.7523057,833.3333333,2.655946878,58.01894244,11.67570925,65.82745192
60,76.21247113,902.9585799,148.2381531,1171.24183,8.438030337,80.18091059,22.97589949,83.81740051
70,79.14438503,1132.960894,199.1001125,1470.44335,10.63719338,104.3944277,18.1715681,84.20636706
80,86.30952381,1304.994687,241.343127,1759.90676,16.43239562,109.7249613,13.17529534,64.71766001
90,79.01907357,1507.12831,265.1439921,2027.839644,17.3117504,117.8725053,11.9842177,48.86425142
100,76.34228188,1663.096397,343.6329588,2267.379679,8.667521714,98.8043048,14.83662691,38.793199
110,67.5990676,1842.49767,391.1894273,2517.948718,15.0100952,88.46725762,10.89849884,58.5075789
120,54.79452055,2008.057296,461.4747307,2740.375123,8.188588626,94.45584304,17.64640427,24.62514603
130,60.40268456,2200.516351,537.1965544,2942.015209,9.260287845,110.6115772,12.58350042,20.01879558
140,55.52050473,2367.634855,646.884273,3150.458716,10.80286611,108.020486,30.30835683,14.28435734
150,51.4354067,2553.685897,725.0883392,3373.558119,7.491393292,93.78932886,24.40132272,43.81327704
160,50.79908676,2728.748068,822.6997985,3614.125754,14.72595853,105.3894811,20.97308096,43.8118445
170,47.61904762,2916.041979,937.1391918,3853.67893,0.570301314,120.7638316,37.73843363,49.75856307
180,45.35864979,3095.272727,1052.243393,4107.66721,8.087303386,104.2595628,41.92472853,50.54715951
190,48.05725971,3284.707541,1159.976387,4339.697693,4.793653992,108.6738371,65.91842,43.22626899
200,50.57015369,3491.083676,1277.588168,4603.100775,9.518378398,123.0323461,56.46448037,58.66461321
210,50.19305019,3705.488621,1417.811985,4864.844343,4.650578088,137.9152707,80.66192713,47.24237765
220,48.49340866,3931.981687,1566.916488,5116.555308,2.816555952,144.6307462,75.28000538,59.49553083
230,47.88213628,4117.571885,1752.52257,5403.179191,4.472585632,157.6380344,79.07546055,60.23722131
240,56.38249887,4336.454432,1935.39916,5700.424929,10.08901403,168.2183149,77.27676007,87.75538641
250,50.11086475,4568.986569,2123.124677,5986.832987,3.398927747,180.8943165,88.49635923,21.86913285
260,53.6883457,4809.922295,2309.220581,6286.004057,3.52333491,216.623033,96.24229139,78.07054626
270,50.75268817,5033.450704,2495.739348,6578.982155,4.461021676,223.9402851,124.7275427,82.93380878
280,53.92781316,5246.84271,2691.133005,6867.227979,13.45341857,263.3286723,112.0933707,101.6657764
290,55.0883095,5474.337281,2869.249395,7232.051282,6.810176449,236.7554588,133.372687,160.6144288
300,63.33892617,5679.02601,3052.256532,7552.681388,1.687163776,275.8047226,117.2301353,148.0893859
310,64.20478389,5939.0642,3230.590423,7872.034956,7.759601768,296.0781703,150.3244479,188.4648386
320,71.8487395,6126.737968,3400.909091,8202.586207,6.468144176,335.2469525,149.6212986,184.030909
330,72.87278854,6356.728232,3551.202137,8486.914181,5.675963895,334.1198408,139.9623767,215.4813511
340,79.10321489,6611.807732,3730.047972,8882.211538,9.35141476,354.5754853,145.3695048,263.3467887
350,83.33333333,6896.26556,3898.886033,9188.915375,1.405865105,370.0087046,161.145762,326.6725409
360,80.66581306,7135.427394,4060.504202,9493.255132,3.911767414,370.5448966,159.5546318,360.9863969
370,85.40772532,7394.57523,4219.884488,9796.551724,11.05646003,398.0263458,171.4593816,395.0478555
380,90.63444109,7686.704024,4372.6607,10079.95495,4.548020425,400.8833587,187.3052932,468.7775778
390,99.43551889,7911.809427,4564.554932,10336.09272,13.23515079,370.01658,182.1272092,415.2311924
400,110.5769231,8175.874303,4718.35443,10613.9686,9.005914238,384.1764254,187.2945547,410.7962562
410,112.2359155,8445.121951,4891.575663,10830.31915,2.593098871,407.0074498,188.5324336,342.2545781
420,112.4889283,8687.341129,5050.749712,11160.7615,2.242607763,422.0913867,211.1795919,449.1011092
430,120.3744984,8928.680591,5195.528609,11336.46322,9.909260304,433.5216962,212.4531102,443.3031324
440,132.1684588,9155.295316,5373.128743,11685.77384,10.38381982,423.5517194,226.2384398,462.5899409
450,128.4941389,9355.397149,5563.542053,12061.81247,3.613417358,453.8626019,241.8501594,440.4033085
460,138.7755102,9593.177189,5720.233747,12404.00844,4.576633204,483.9489458,261.6549346,536.3595021
470,147.2868217,9743.367347,5897.694524,12689.65517,12.75460676,469.7889734,291.5520223,531.6811591
480,155.7489693,9961.085509,6064.893617,13051.70576,5.41766062,461.4177023,312.8978571,576.070613
490,168.1252879,10060.90072,6226.717824,13347.45308,13.34530905,517.8720706,289.706259,609.1396011
500,168.8251619,10210.31138,6423.169474,13605.61858,8.312902198,504.1591047,303.1522541,602.3047275
510,177.1269177,10334.1876,6604.477612,13872.36344,19.00554748,458.318301,362.6102139,627.4177502
520,183.7307153,10484.8329,6798.527443,14174.29194,8.437019299,419.142979,349.5211581,674.8720064
530,181.5196998,10585.10088,6968.092105,14552.50137,15.20495962,444.1304452,371.4695587,674.947683
540,204.8022599,10718.57217,7146.261835,14856.58699,20.48043088,443.8844995,345.0931117,825.0601171
550,202.4597919,10737.95961,7333.226014,15120.04467,12.71823405,423.6235124,334.0241824,863.5288094
560,216.9990503,10800.5168,7548.695099,15292.50559,8.074682831,382.1676482,335.2361164,865.9828119
570,217.2463078,10789.17526,7762.743864,15398.66741,12.7350547,430.7655681,313.3478901,907.7220506
580,229.775012,10792.30769,7932.752179,15613.67426,8.90839756,387.6843001,233.4639571,939.9003706
590,234.2774844,10748.58902,8173.362176,15686.94196,20.05077104,374.5468484,147.5493189,958.5722222
600,238.8059701,10701.32518,8392.036753,15922.7756,10.81009254,407.8460095,169.5596118,955.7489105
610,247.826087,10658.17626,8572.080292,15958.21727,9.389427744,345.0415489,135.9850907,1039.206146
620,244.0562834,10584.8961,8772.453285,16128.49162,15.66884799,316.9653246,90.57683098,1126.576846
630,250.4863813,10539.73843,8990.450612,16229.95546,12.82140358,324.4848105,67.31071782,1140.256482
640,273.0375427,10410.26919,9126.819127,16457.82464,14.06727948,350.5602493,76.3360206,1093.095656
650,279.0014684,10381.85444,9366.49061,16557.34072,15.90065488,350.0349473,72.42687419,1146.530962
660,279.1952895,10238.00196,9502.912056,16678.67036,10.42889544,292.7376799,122.8128728,1131.808441
670,289.0201871,10173.48928,9683.555298,16973.19933,11.86682339,302.8866748,227.9427467,1105.063099
680,293.768546,10067.30769,9858.498706,17103.04709,9.701500643,314.3574402,249.0854716,1059.882333
690,305.7482656,10010.96805,10083.59486,17363.99327,21.72734002,336.4630744,329.3869871,1009.345257
700,312.4689518,10006.19048,10257.15095,17692.66055,11.02283378,286.1286085,326.7690035,968.8988213
710,310.7906514,9907.888521,10473.89218,18000.58207,16.29333965,313.8368764,385.1768354,1027.062698
720,324.5395719,9893.626992,10641.30741,18208.57814,10.81067953,287.9814687,402.4313924,1144.959827
