Time(min),Input00,Input01,Input10,Input11,Input00std,Input01std,Input10std,Input11std
0,1.88551E-07,1.14716E-07,1.18115E-07,1.2879E-07,6.24622E-08,3.91316E-08,8.59771E-08,3.65774E-09
10,9.92914E-08,1.71064E-07,1.57116E-07,1.9612E-07,1.7919E-08,2.54019E-08,5.13239E-08,3.45089E-08
20,1.89521E-07,1.56664E-07,1.45834E-07,2.30014E-07,9.93168E-09,2.2142E-08,3.02501E-08,2.02365E-08
30,1.90481E-07,4.75791E-07,1.86796E-07,4.65332E-07,5.18689E-08,6.21334E-08,4.0945E-08,9.42737E-08
40,1.52202E-07,7.71795E-07,1.74605E-07,9.03235E-07,2.99659E-08,8.58804E-08,5.50992E-08,9.00571E-08
50,1.23404E-07,1.18489E-06,2.3343E-07,1.47644E-06,4.70562E-09,1.02794E-07,2.06862E-08,1.16628E-07
60,1.35028E-07,1.5998E-06,2.62638E-07,2.07512E-06,1.49499E-08,1.42059E-07,4.07071E-08,1.48502E-07
70,1.40223E-07,2.0073E-06,3.52752E-07,2.60523E-06,1.88462E-08,1.84959E-07,3.21951E-08,1.49191E-07
80,1.52917E-07,2.3121E-06,4.27595E-07,3.11808E-06,2.91138E-08,1.94403E-07,2.33431E-08,1.14662E-07
90,1.4E-07,2.67022E-06,4.69764E-07,3.59278E-06,3.06718E-08,2.08838E-07,2.12328E-08,8.65743E-08
100,1.35258E-07,2.94656E-06,6.08825E-07,4.01719E-06,1.53565E-08,1.75055E-07,2.62865E-08,6.87311E-08
110,1.19767E-07,3.26441E-06,6.93082E-07,4.46113E-06,2.65938E-08,1.5674E-07,1.93092E-08,1.0366E-07
120,9.70811E-08,3.55774E-06,8.17609E-07,4.85521E-06,1.4508E-08,1.6735E-07,3.12647E-08,4.36291E-08
130,1.07017E-07,3.89872E-06,9.51767E-07,5.21246E-06,1.64067E-08,1.95974E-07,2.22946E-08,3.54679E-08
140,9.83674E-08,4.19481E-06,1.1461E-06,5.58176E-06,1.91398E-08,1.91383E-07,5.36982E-08,2.5308E-08
150,9.11297E-08,4.52444E-06,1.28466E-06,5.97704E-06,1.32727E-08,1.66169E-07,4.32326E-08,7.76253E-08
160,9.00023E-08,4.83461E-06,1.4576E-06,6.40326E-06,2.60904E-08,1.86722E-07,3.71586E-08,7.76228E-08
170,8.43681E-08,5.16644E-06,1.66036E-06,6.82768E-06,1.01042E-09,2.13961E-07,6.68623E-08,8.81588E-08
180,8.03633E-08,5.48399E-06,1.86429E-06,7.27768E-06,1.43285E-08,1.8472E-07,7.42793E-08,8.95559E-08
190,8.51445E-08,5.81962E-06,2.05517E-06,7.68877E-06,8.49306E-09,1.92541E-07,1.1679E-07,7.65853E-08
