Time(min),Input00,Input01,Input10,Input11,Input00std,Input01std,Input10std,Input11std
0,0,0,0,0,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
10,0,2.70704E-08,7.40438E-10,2.33611E-08,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
20,0,1.03953E-07,5.57301E-09,9.20016E-08,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
30,0,2.24561E-07,1.77039E-08,2.03503E-07,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
40,0,3.83323E-07,3.9519E-08,3.55188E-07,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
50,0,5.75141E-07,7.27226E-08,5.44205E-07,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
60,0,7.95357E-07,1.18455E-07,7.67602E-07,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
70,0,1.03972E-06,1.77396E-07,1.02238E-06,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
80,0,1.30437E-06,2.49847E-07,1.30554E-06,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
90,0,1.58577E-06,3.35808E-07,1.61413E-06,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
100,0,1.88074E-06,4.35034E-07,1.94525E-06,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
110,0,2.18637E-06,5.47093E-07,2.29611E-06,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
120,0,2.50004E-06,6.71407E-07,2.66401E-06,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
130,0,2.81939E-06,8.07287E-07,3.04641E-06,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
140,0,3.14229E-06,9.53965E-07,3.44086E-06,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
150,0,3.46683E-06,1.11062E-06,3.84506E-06,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
160,0,3.7913E-06,1.2764E-06,4.25687E-06,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
170,0,4.11417E-06,1.45044E-06,4.67427E-06,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
180,0,4.43407E-06,1.63187E-06,5.09539E-06,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
190,0,4.74982E-06,1.81983E-06,5.51851E-06,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
200,0,5.06036E-06,2.01347E-06,5.94202E-06,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
210,0,5.36475E-06,2.21199E-06,6.36446E-06,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
220,0,5.66219E-06,2.4146E-06,6.78451E-06,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
230,0,5.95199E-06,2.62055E-06,7.20094E-06,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
240,0,6.23355E-06,2.82914E-06,7.61266E-06,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
250,0,6.50636E-06,3.03969E-06,8.01868E-06,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
260,0,6.77001E-06,3.25157E-06,8.41813E-06,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
270,0,7.02416E-06,3.4642E-06,8.81022E-06,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
280,0,7.26853E-06,3.67702E-06,9.19427E-06,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
290,0,7.50291E-06,3.88954E-06,9.56966E-06,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
300,0,7.72715E-06,4.10129E-06,9.93589E-06,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
310,0,7.94114E-06,4.31184E-06,1.02925E-05,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
320,0,8.14484E-06,4.52079E-06,1.06391E-05,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
330,0,8.33822E-06,4.72781E-06,1.09755E-05,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
340,0,8.5213E-06,4.93256E-06,1.13012E-05,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
350,0,8.69415E-06,5.13475E-06,1.16163E-05,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
360,0,8.85686E-06,5.33414E-06,1.19204E-05,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
370,0,9.00952E-06,5.53049E-06,1.22136E-05,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
380,0,9.15229E-06,5.72361E-06,1.24958E-05,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
390,0,9.28531E-06,5.91331E-06,1.27668E-05,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
400,0,9.40877E-06,6.09946E-06,1.30269E-05,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
410,0,9.52284E-06,6.28191E-06,1.3276E-05,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
420,0,9.62773E-06,6.46057E-06,1.35142E-05,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
430,0,9.72366E-06,6.63534E-06,1.37416E-05,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
440,0,9.81085E-06,6.80616E-06,1.39583E-05,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
450,0,9.88953E-06,6.97296E-06,1.41645E-05,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
460,0,9.95993E-06,7.13572E-06,1.43604E-05,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
470,0,1.00223E-05,7.29441E-06,1.4546E-05,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
480,0,1.00769E-05,7.44901E-06,1.47218E-05,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
490,0,1.01239E-05,7.59953E-06,1.48877E-05,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
500,0,1.01637E-05,7.74597E-06,1.50441E-05,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
510,0,1.01964E-05,7.88835E-06,1.51912E-05,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
520,0,1.02224E-05,8.0267E-06,1.53292E-05,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
530,0,1.02417E-05,8.16106E-06,1.54584E-05,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
540,0,1.02548E-05,8.29147E-06,1.55789E-05,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
550,0,1.02619E-05,8.41798E-06,1.56911E-05,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
560,0,1.02631E-05,8.54063E-06,1.57951E-05,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
570,0,1.02588E-05,8.6595E-06,1.58913E-05,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
580,0,1.02491E-05,8.77464E-06,1.59799E-05,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
590,0,1.02343E-05,8.88611E-06,1.60612E-05,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
600,0,1.02146E-05,8.994E-06,1.61353E-05,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
610,0,1.01903E-05,9.09837E-06,1.62025E-05,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
620,0,1.01616E-05,9.19928E-06,1.62631E-05,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
630,0,1.01286E-05,9.29683E-06,1.63173E-05,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
640,0,1.00915E-05,9.39109E-06,1.63654E-05,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
650,0,1.00507E-05,9.48213E-06,1.64076E-05,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
660,0,1.00062E-05,9.57004E-06,1.64441E-05,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
670,0,9.95831E-06,9.65489E-06,1.64751E-05,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
680,0,9.90716E-06,9.73676E-06,1.65009E-05,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
690,0,9.85293E-06,9.81574E-06,1.65217E-05,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
700,0,9.79581E-06,9.8919E-06,1.65377E-05,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
710,0,9.73595E-06,9.96532E-06,1.65491E-05,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
720,0,9.67354E-06,1.00361E-05,1.65561E-05,7.40438E-10,7.40438E-10,7.40438E-10,7.40438E-10
