Time(min),25nM,12.5nM,6.25nM,3.125nM,1.56nM,0nM,25nMstd,12.5nMstd,6.25nMstd,3.125nMstd,1.56nMstd,0nMstd
0.0,4.407263681592039e-08,3.5791919191919214e-08,2.6981600621600605e-08,3.5387659140196406e-08,1.777081886241862e-08,3.624978635258737e-08,4.039343427999594e-08,3.099671127040184e-08,2.6844998305574464e-08,5.5985209482246865e-08,4.098085492531854e-08,5.39570920954721e-08
10.0,5.7079578893962527e-08,4.967646061554515e-08,5.026399731723678e-08,5.004312217912956e-08,3.304407407407409e-08,2.460740740740745e-08,1.362377472537416e-08,2.495744062150112e-08,2.549082824365314e-08,2.4460693905956233e-08,3.7513891424301e-08,4.2621279872176447e-08
20.0,1.028951388888889e-07,7.439036324786323e-08,3.038422688422684e-08,4.572362082362085e-08,3.068440170940167e-08,4.461384984503373e-08,1.241066481295574e-08,1.2324551654026637e-08,1.3030412408861929e-08,2.2568691164863465e-08,1.3804963071180961e-08,2.3650947889964892e-08
30.0,3.570739325842696e-07,1.3951030094957053e-07,3.402313248766737e-08,3.466227390180878e-08,2.052408834798286e-08,2.0210092302333667e-08,2.181442307995623e-08,2.1475628624572804e-08,1.1633192677450783e-08,1.2187154233519865e-08,2.03662467944883e-08,2.0133397861015625e-08
40.0,9.719482996632998e-07,4.6822598653198656e-07,8.418575207860923e-08,1.2431994521311878e-08,3.0507936507936545e-08,2.4105442176870755e-08,4.944048029238943e-08,3.894367885703333e-08,3.785468951050358e-08,2.8108748670748767e-08,2.8112312137680564e-08,4.175185058925387e-08
50.0,1.8714560150375939e-06,1.0755955835694307e-06,2.531044642857143e-07,3.768154320987654e-08,3.217844873859369e-08,3.150862813112811e-08,3.694265791374972e-08,1.7520333387353402e-08,1.58196428571429e-08,2.447395602138561e-08,1.6466021358942513e-08,2.7516250147646687e-08
60.0,3.0077432042328045e-06,1.9529019848675718e-06,6.162310931371284e-07,5.82525185334498e-08,2.8971149397602476e-08,3.304322911497105e-08,2.324734992818374e-08,2.722953141521836e-08,3.2363198892360916e-08,1.4652873100826019e-08,1.4755556542705941e-08,2.2138996329499254e-08
70.0,4.168000930208654e-06,2.977587281194939e-06,1.0786455235794328e-06,7.313205399184305e-08,4.6679045958422937e-08,4.172490459295971e-08,4.08909870450772e-08,1.7898331631055354e-08,3.2161402528793545e-08,1.508086206734372e-08,7.781345989314368e-09,1.9445378657879834e-08
80.0,5.338402974583896e-06,4.069261422905901e-06,1.5784560746022956e-06,8.742347326431256e-08,4.48580015923567e-08,3.68036713197321e-08,4.1577202134517726e-08,2.5947098847884026e-08,1.967851142989348e-08,1.2851722489226754e-08,4.886562131067041e-10,6.747124431892471e-09
90.0,6.462677960302306e-06,5.117617313004735e-06,2.0067721246987006e-06,1.0527286659051688e-07,4.0003350915173926e-08,3.9601769009910195e-08,3.977456725491794e-08,7.612135792025562e-08,3.1242319733701694e-08,7.054808747549804e-09,1.0180210615494661e-08,1.00385281540072e-08
100.0,7.433047442680776e-06,6.1459864619179025e-06,2.2798459511180244e-06,1.020674176882217e-07,3.570880940365598e-08,3.838022452163914e-08,9.397024341483712e-08,3.876586393683206e-08,5.0186877917125005e-08,1.5177724137632494e-08,1.8223396062564094e-08,2.1009370025013924e-08
110.0,8.338177332822748e-06,7.053035178532709e-06,2.433780209161468e-06,1.108207811318858e-07,4.277334822788982e-08,4.2645010926822523e-08,5.6987217698210654e-08,3.013762881609948e-08,5.1151914430727496e-08,1.0675513062137688e-08,1.324116661714536e-08,1.2897423180423001e-08
120.0,9.12378176654799e-06,7.86000788553784e-06,2.4579569543139586e-06,1.0954366010918648e-07,4.091151876322495e-08,3.8448621753513056e-08,1.347997569208041e-07,4.12161999939928e-08,7.691796285568636e-08,2.1144501674951155e-09,4.674991277480449e-09,4.6159229377528565e-09
130.0,9.922941060443492e-06,8.436974845536963e-06,2.3970922152814438e-06,1.05543854374401e-07,4.165735209063975e-08,3.941027631985871e-08,1.1853832921563378e-07,6.892674060446458e-08,1.0010872972506713e-07,9.33608940161845e-09,1.068988077546241e-08,1.184877618567333e-08
140.0,1.0636982348629483e-05,8.830983024946888e-06,2.309597968668496e-06,1.0494586902067844e-07,4.6065505649204625e-08,4.618561617905159e-08,1.4632604042846595e-07,1.1301998067165664e-07,7.681856849248664e-08,6.952356973936929e-09,3.787761535249957e-09,1.299792594576812e-08
150.0,1.122254796089497e-05,8.929049955673618e-06,2.1934634213796343e-06,1.0388367412567474e-07,4.441499588108782e-08,4.226190248355673e-08,1.6016808625429062e-07,1.2726662691760137e-07,8.269014648274114e-08,7.943470815766812e-09,5.899780231054363e-09,6.698673755882259e-09
160.0,1.181180262510354e-05,8.787309385034563e-06,2.059341286610878e-06,1.0415742245962229e-07,4.9313217245212755e-08,5.08035547730308e-08,2.188996951726721e-07,1.6522506782372795e-07,8.916133073428761e-08,6.445425327826507e-09,6.505871707821641e-09,9.53504947730534e-09
170.0,1.237903375132169e-05,8.576031905011885e-06,1.9309956758941956e-06,1.029587543902638e-07,5.225156757769718e-08,5.040942797559936e-08,1.9348311357566606e-07,1.941764050021964e-07,9.238340074885468e-08,7.997288861697172e-09,5.452760281737521e-09,1.0314978308582758e-08
180.0,1.2968897954093001e-05,8.25335414389703e-06,1.8269821815974946e-06,1.0464637460205752e-07,5.742330789223335e-08,5.4047506307171115e-08,2.700748008379815e-07,1.8733592892416192e-07,9.07768629645586e-08,6.8697602374555315e-09,4.99301222900009e-09,7.274672803495492e-09
190.0,1.3408167816872204e-05,7.886637747895506e-06,1.718655387025649e-06,1.0460091235849019e-07,6.16944443919798e-08,5.730050285383256e-08,2.624993677882676e-07,2.0686906648832193e-07,8.291674690196074e-08,4.368568542404344e-09,4.76381701365756e-09,4.402758845522325e-09
200.0,1.3783218468176487e-05,7.470672624904059e-06,1.6205198809819552e-06,1.072251144405376e-07,6.436550087086693e-08,6.800026702633926e-08,2.4648881880781276e-07,2.2639385260837557e-07,7.837680591688333e-08,6.6800257317504196e-09,5.095651090636366e-09,1.2261170782795879e-08
210.0,1.3856748434934827e-05,7.092064096941058e-06,1.529213404899273e-06,1.1161348704402202e-07,6.893430791600045e-08,6.994856547754298e-08,2.7062817700226633e-07,2.2684427474489542e-07,7.1401206725075e-08,6.514960852269326e-09,7.013017292228975e-09,8.88839907482076e-09
220.0,1.3834215158030357e-05,6.748378790249087e-06,1.4459033596075418e-06,1.0824040363342882e-07,7.004553162909645e-08,7.461473709588219e-08,3.230632365843512e-07,1.8721032929395878e-07,7.192205657285569e-08,4.354875835972407e-09,6.112998197860703e-09,7.597482063818078e-09
230.0,1.3599951010351521e-05,6.411356612520185e-06,1.3924284956067182e-06,1.1938183563441885e-07,8.202098702833527e-08,8.29888595050041e-08,3.5312757648249467e-07,1.7669064342916015e-07,7.150507446209055e-08,7.2498819442563035e-09,9.93671685809587e-09,1.140739141204804e-08
240.0,1.3412070312583546e-05,6.176437397768219e-06,1.3499202370466717e-06,1.2577127927213157e-07,9.103835328396796e-08,9.427382434678996e-08,2.9277503768841735e-07,1.795302664051779e-07,6.563392807178017e-08,6.126531912485896e-09,7.1612448640765914e-09,6.951407620477546e-09
250.0,1.309518231931595e-05,5.930605979925621e-06,1.3137269330019412e-06,1.3291796671484822e-07,1.0062947043717414e-07,1.0279465094784766e-07,3.2675810719989963e-07,1.758396892862528e-07,6.592741219811183e-08,8.017789414531118e-09,8.926277457562388e-09,1.168356594139567e-08
260.0,1.271460118245391e-05,5.713527032484221e-06,1.285302558549902e-06,1.435355113241825e-07,1.1153584339575928e-07,1.1363768375182281e-07,3.4160248403535595e-07,1.6999542044980514e-07,6.358457037950533e-08,7.000554658422579e-09,8.28477336602483e-09,8.771942204871128e-09
