,x,y
0,0.0,0.0
1,10.0,8.255420584641794e-07
2,20.0,1.535863395818668e-06
3,30.0,2.1473327722205213e-06
4,40.0,2.673658994987244e-06
5,50.0,3.1266958002401856e-06
6,60.0,3.516625010416206e-06
7,70.0,3.852223113279376e-06
8,80.0,4.141076886669984e-06
9,90.0,4.389696756984725e-06
10,100.0,4.6036917637792215e-06
11,110.0,4.787867760741171e-06
12,120.0,4.946349898936991e-06
13,130.0,5.082780770762841e-06
14,140.0,5.2002259297961484e-06
15,150.0,5.30132015058451e-06
16,160.0,5.3883280039548515e-06
17,170.0,5.4632103974783525e-06
18,180.0,5.527656089969652e-06
19,190.0,5.583133453294356e-06
20,200.0,5.630883048600381e-06
21,210.0,5.671981843324671e-06
22,220.0,5.707355947162501e-06
23,230.0,5.737805992574414e-06
24,240.0,5.764020022267734e-06
25,250.0,5.786573910070085e-06
26,260.0,5.8059901903438075e-06
27,270.0,5.822694538764256e-06
28,280.0,5.837075498493346e-06
29,290.0,5.849450367117149e-06
30,300.0,5.860104497543361e-06
31,310.0,5.8692727651702825e-06
32,320.0,5.877166649063664e-06
33,330.0,5.883960243925172e-06
34,340.0,5.889804317288515e-06
35,350.0,5.894836140519219e-06
36,360.0,5.8991647993620965e-06
37,370.0,5.902892512695422e-06
38,380.0,5.90610024302528e-06
39,390.0,5.908861787379351e-06
40,400.0,5.911238997776742e-06
41,410.0,5.913284101274399e-06
42,420.0,5.915045202453368e-06
43,430.0,5.916560439742868e-06
44,440.0,5.917866272069331e-06
45,450.0,5.918990475170796e-06
46,460.0,5.919955358024671e-06
47,470.0,5.920786068997305e-06
48,480.0,5.9215011784017255e-06
49,490.0,5.922115520520797e-06
50,500.0,5.922644896147557e-06
51,510.0,5.9231011297413515e-06
52,520.0,5.923493627657046e-06
53,530.0,5.92383213686766e-06
54,540.0,5.924123803745331e-06
55,550.0,5.92437574346503e-06
56,560.0,5.9245902042598244e-06
57,570.0,5.924775849850168e-06
58,580.0,5.924935431400814e-06
59,590.0,5.925072513421579e-06
60,600.0,5.925190223602946e-06
