,x,y
0,0.0,1.0000000000000002e-06
1,10.0,1.4322651272264602e-06
2,20.0,1.8041157759140446e-06
3,30.0,2.124252832077465e-06
4,40.0,2.3997970083491394e-06
5,50.0,2.636983576771434e-06
6,60.0,2.8411451547846912e-06
7,70.0,3.016863457452667e-06
8,80.0,3.168093347048245e-06
9,90.0,3.2982610154040165e-06
10,100.0,3.4102968436517735e-06
11,110.0,3.5067262760215314e-06
12,120.0,3.5897234355995957e-06
13,130.0,3.6611466311644924e-06
14,140.0,3.7226152126163103e-06
15,150.0,3.775540712190175e-06
16,160.0,3.82109614699727e-06
17,170.0,3.860306140255028e-06
18,180.0,3.8940514341204035e-06
19,190.0,3.923092891997872e-06
20,200.0,3.9480918121382585e-06
21,210.0,3.969608801557769e-06
22,220.0,3.988129271439028e-06
23,230.0,4.0040700640110285e-06
24,240.0,4.017790633280923e-06
25,250.0,4.029603714597782e-06
26,260.0,4.039773824485738e-06
27,270.0,4.048520269055256e-06
28,280.0,4.056050948668411e-06
29,290.0,4.062528732982751e-06
30,300.0,4.068103558930537e-06
31,310.0,4.0729033745658495e-06
32,320.0,4.077038087368e-06
33,330.0,4.08059000294257e-06
34,340.0,4.08364956464681e-06
35,350.0,4.0862794324986204e-06
36,360.0,4.088540893594631e-06
37,370.0,4.0904904966349735e-06
38,380.0,4.092165065543585e-06
39,390.0,4.093608085985043e-06
40,400.0,4.094858140316979e-06
41,410.0,4.0959321320256195e-06
42,420.0,4.096857206601553e-06
43,430.0,4.0976557698671285e-06
44,440.0,4.098340487469605e-06
45,450.0,4.09892995232301e-06
46,460.0,4.099437717307975e-06
47,470.0,4.099873253333032e-06
48,480.0,4.1002488090100065e-06
49,490.0,4.100571516889655e-06
50,500.0,4.100848845855259e-06
51,510.0,4.101088337585371e-06
52,520.0,4.101293903458436e-06
53,530.0,4.1014709318128485e-06
54,540.0,4.101623548518599e-06
55,550.0,4.1017545171054144e-06
56,560.0,4.101867460204694e-06
57,570.0,4.101964043957018e-06
58,580.0,4.102046469512225e-06
59,590.0,4.1021174733373896e-06
60,600.0,4.102179791899584e-06
