Time,"A1, 0.1","A1, 0.1","A1, 0.1","A1, 0.15","A1, 0.15","A1, 0.15","A1, 0.2","A1, 0.2","A1, 0.2",Blank,Blank,Blank
Trials,1,2,3,1,2,3,1,2,3,1,2,3
14,16139,16275,15869,16065,16034,15131,15857,15655,15416,210,193,194
29,16630,16761,16265,16575,16536,15599,16177,16124,15777,194,203,194
44,17244,17408,16852,16974,17056,16079,16883,16821,16450,205,195,189
59,17872,18060,17426,17818,17591,16765,17595,17555,17165,196,192,192
74,18613,18720,18228,18408,18423,17320,18232,18125,17767,199,197,189
89,19256,19333,18832,19057,19131,18116,18752,18906,18427,197,200,193
104,19927,20082,19382,19797,19763,18620,19479,19377,19055,183,184,191
119,20545,20585,20116,20413,20235,19205,19907,19912,19537,194,199,188
134,21169,21168,20564,20839,20712,19852,20282,20380,20028,189,191,188
149,21609,21558,21177,21416,21294,20033,21102,21009,20620,199,199,194
164,21711,21886,21562,21904,21850,20642,21138,21208,20935,194,201,197
179,21673,22094,21932,21993,21827,20770,21152,21068,20897,197,198,195
194,21638,22048,21807,21960,21695,20751,21103,21076,20997,197,200,195
209,22000,22104,21788,21956,21715,20893,21496,21286,20992,188,189,188
224,22714,22826,22208,22662,22603,21270,22333,22073,21403,194,201,188
239,23189,22893,22945,23601,23617,22287,23295,23249,22386,198,188,190
254,24226,24361,24025,24434,24355,22955,24176,24172,23222,185,186,184
269,25194,25474,25007,25254,25378,24059,24924,25007,24201,196,194,192
284,26100,26150,25846,26230,26344,25245,25935,25797,24942,194,197,187
299,27006,27267,26709,27168,27116,25917,26681,26627,25876,181,203,197
314,27763,27697,27240,27942,27862,26829,27732,27399,26624,188,198,190
329,29335,29308,28289,28808,28815,27539,28411,28385,27368,191,187,187
344,30513,30125,29289,29571,29480,28456,29409,29137,28154,205,189,198
359,31519,31045,30491,30349,30550,29062,30168,29737,29109,189,206,198
374,32018,31648,30851,31236,31272,29858,30823,30818,29626,190,198,187
389,32649,31771,31156,31417,31503,30410,31447,31257,30397,195,192,201
404,33148,32215,31743,32672,32750,31537,32336,32199,30933,188,186,193
419,33484,32243,31806,33401,33418,32295,33003,32681,31621,195,191,195
434,34010,32778,32183,33989,34141,33086,33935,33233,32265,196,195,197
449,34206,32943,32593,34877,35153,33811,34155,34137,33022,205,189,196
464,34459,33163,32522,35495,35826,34398,34602,34592,33734,191,199,196
479,34922,33277,32802,36031,36302,35283,35133,35048,34199,197,190,181
494,35107,33148,33037,36817,36920,36020,35300,35145,34115,202,195,189
