,pMCS,rbsMCS,pPAL,rbsPAL,p4CL,rbs4CL,rbsOsCHS,Nar
64,0.3636,1.0,0.909,1.0,0.909,1.0,1.0,0.0002499999537411524
0,0.909,1.0,0.909,1.0,0.909,1.0,1.0,0.00024999995372927604
32,0.909,0.1855,0.909,1.0,0.909,1.0,1.0,0.000249999953703312
16,0.909,1.0,0.3636,1.0,0.909,1.0,1.0,0.00024999995366153114
96,0.3636,0.1855,0.909,1.0,0.909,1.0,1.0,0.0002499999535739564
8,0.909,1.0,0.909,0.1855,0.909,1.0,1.0,0.0002499999535713679
82,0.3636,1.0,0.3636,1.0,0.909,0.1855,1.0,0.00024999995355757377
4,0.909,1.0,0.909,1.0,0.3636,1.0,1.0,0.00024999995353762526
44,0.909,0.1855,0.909,0.1855,0.3636,1.0,1.0,0.0002499999535216717
68,0.3636,1.0,0.909,1.0,0.3636,1.0,1.0,0.00024999995352103214
36,0.909,0.1855,0.909,1.0,0.3636,1.0,1.0,0.000249999953514294
60,0.909,0.1855,0.3636,0.1855,0.3636,1.0,1.0,0.0002499999535133848
28,0.909,1.0,0.3636,0.1855,0.3636,1.0,1.0,0.00024999995351033746
80,0.3636,1.0,0.3636,1.0,0.909,1.0,1.0,0.0002499999534832555
48,0.909,0.1855,0.3636,1.0,0.909,1.0,1.0,0.0002499999534807806
20,0.909,1.0,0.3636,1.0,0.3636,1.0,1.0,0.0002499999534588263
124,0.3636,0.1855,0.3636,0.1855,0.3636,1.0,1.0,0.00024999995344749656
42,0.909,0.1855,0.909,0.1855,0.909,0.1855,1.0,0.00024999995340394655
100,0.3636,0.1855,0.909,1.0,0.3636,1.0,1.0,0.000249999953398327
108,0.3636,0.1855,0.909,0.1855,0.3636,1.0,1.0,0.0002499999533691527
40,0.909,0.1855,0.909,0.1855,0.909,1.0,1.0,0.00024999995336417476
112,0.3636,0.1855,0.3636,1.0,0.909,1.0,1.0,0.00024999995330254545
72,0.3636,1.0,0.909,0.1855,0.909,1.0,1.0,0.00024999995329627324
12,0.909,1.0,0.909,0.1855,0.3636,1.0,1.0,0.0002499999532955262
84,0.3636,1.0,0.3636,1.0,0.3636,1.0,1.0,0.00024999995328923617
24,0.909,1.0,0.3636,0.1855,0.909,1.0,1.0,0.0002499999532821898
52,0.909,0.1855,0.3636,1.0,0.3636,1.0,1.0,0.00024999995325922616
104,0.3636,0.1855,0.909,0.1855,0.909,1.0,1.0,0.00024999995318239346
2,0.909,1.0,0.909,1.0,0.909,0.1855,1.0,0.00024999995315001404
66,0.3636,1.0,0.909,1.0,0.909,0.1855,1.0,0.00024999995314172797
34,0.909,0.1855,0.909,1.0,0.909,0.1855,1.0,0.0002499999531185619
116,0.3636,0.1855,0.3636,1.0,0.3636,1.0,1.0,0.0002499999531099513
18,0.909,1.0,0.3636,1.0,0.909,0.1855,1.0,0.0002499999530949505
120,0.3636,0.1855,0.3636,0.1855,0.909,1.0,1.0,0.0002499999530765316
90,0.3636,1.0,0.3636,0.1855,0.909,0.1855,1.0,0.0002499999530548532
56,0.909,0.1855,0.3636,0.1855,0.909,1.0,1.0,0.00024999995304721346
58,0.909,0.1855,0.3636,0.1855,0.909,0.1855,1.0,0.000249999953045664
122,0.3636,0.1855,0.3636,0.1855,0.909,0.1855,1.0,0.0002499999530379538
98,0.3636,0.1855,0.909,1.0,0.909,0.1855,1.0,0.0002499999530341331
88,0.3636,1.0,0.3636,0.1855,0.909,1.0,1.0,0.00024999995301265094
76,0.3636,1.0,0.909,0.1855,0.3636,1.0,1.0,0.00024999995299975196
106,0.3636,0.1855,0.909,0.1855,0.909,0.1855,1.0,0.0002499999529560896
10,0.909,1.0,0.909,0.1855,0.909,0.1855,1.0,0.00024999995291539805
92,0.3636,1.0,0.3636,0.1855,0.3636,1.0,1.0,0.00024999995288797755
50,0.909,0.1855,0.3636,1.0,0.909,0.1855,1.0,0.0002499999527622392
114,0.3636,0.1855,0.3636,1.0,0.909,0.1855,1.0,0.00024999995271464273
74,0.3636,1.0,0.909,0.1855,0.909,0.1855,1.0,0.00024999995260719055
