,literature,substrate,kmValue,kmValueMaximum,commentary,organism,ecNumber,ligandStructureId
0,[748273],L-phenylalanine,0.54,,"pH 8.8, 30&deg;C",Rhodotorula toruloides,4.3.1.25,104
1,[748273],L-tyrosine,0.21,,"pH 8.8, 30&deg;C",Rhodotorula toruloides,4.3.1.25,109
2,[34355],L-Phe,0.29,,,Rhodotorula toruloides,4.3.1.25,203
3,[34355],L-Tyr,0.18,,,Rhodotorula toruloides,4.3.1.25,415
4,[748273],trans-cinnamate,0.93,,"pH 10, 30&deg;C",Rhodotorula toruloides,4.3.1.25,1544
5,[653536],ATP,0.004,,"wild-type enzyme, pH 7.0, 30&deg;C",Arabidopsis thaliana,6.2.1.12,4
6,[732001],ATP,0.013,,"30&deg;C, pH 7.0",Acetobacterium woodii,6.2.1.12,4
7,[651262],ATP,0.029,,K457S mutant enzyme,Arabidopsis thaliana,6.2.1.12,4
8,[607],ATP,0.036,,,Forsythia suspensa,6.2.1.12,4
9,[608],ATP,0.065,,isoenzyme 2,Glycine max,6.2.1.12,4
10,[651262],ATP,0.151,,K211S mutant enzyme,Arabidopsis thaliana,6.2.1.12,4
11,[651262],ATP,0.163,,wild type,Arabidopsis thaliana,6.2.1.12,4
12,[608],ATP,0.17,,"3-coumarate, , isoenzyme 1",Glycine max,6.2.1.12,4
13,[651262],ATP,0.173,,C403 mutant enzyme,Arabidopsis thaliana,6.2.1.12,4
14,[651262],ATP,0.24,,E401Q mutant enzyme,Arabidopsis thaliana,6.2.1.12,4
15,[651262],ATP,1.507,,R449Q mutant enzyme,Arabidopsis thaliana,6.2.1.12,4
16,[607],CoA,0.0032,,,Forsythia suspensa,6.2.1.12,18
17,[732001],CoA,0.5,,"30&deg;C, pH 7.0",Acetobacterium woodii,6.2.1.12,18
18,[608],CoASH,0.004,,isoenzyme 2,Glycine max,6.2.1.12,610
19,[608],CoASH,0.007,,isoenzyme 1,Glycine max,6.2.1.12,610
20,[728204],ferulate,0.0009,,"pH 7.5, 22&deg;C",Sorbus aucuparia,6.2.1.12,1047
