,EcNumber,Enzyme_Synonyms
0,1.1.1.1,"['(R)-specific alcohol dehydrogenase', '1.1.1.1', '40 kDa allergen', 'Aadh1', 'acetaldehyde-alcohol dehydrogenase', 'ADH', 'ADH 1', 'ADH class III', 'ADH I', 'ADH II', 'ADH-10', 'ADH-A', 'ADH-A2', 'ADH-B2', 'ADH-C2', 'ADH-HT', 'ADH-I', 'ADH1', 'ADH1B', 'ADH1C', 'ADH1C*1', 'ADH1C*2', 'Adh1p', 'ADH2', 'ADH3', 'ADH4', 'ADH5', 'ADH6Hp', 'ADH8', 'AdhA', 'AdhB', 'AdhC', 'AdhD', 'AdhE', 'ADHES77', 'ADS1', 'AFPDH', 'alcohol dehydrogenase', 'alcohol dehydrogenase (NAD)', 'alcohol dehydrogenase 1', 'alcohol dehydrogenase 10', 'alcohol dehydrogenase 2', 'alcohol dehydrogenase 3', 'alcohol dehydrogenase 5', 'alcohol dehydrogenase D', 'alcohol dehydrogenase GroES domain protein', 'alcohol dehydrogenase I', 'alcohol dehydrogenase II', 'Alcohol dehydrogenase-B2', 'alcohol dependent dehydrogenase', 'alcohol-aldehyde/ketone oxidoreductase, NAD+-dependent', 'alcohol:NAD+ oxidoreductase', 'aldehyde dehydrogenase', 'aldehyde reductase', 'aldehyde/alcohol dehydrogenase', 'ALDH', 'aliphatic alcohol dehydrogenase', 'alpha-ketoaldehyde dehydrogenase', 'APE2239', 'APE_2239.1', 'ARAD1B16786p', 'bifunctional acetaldehyde-alcohol dehydrogenase', 'bifunctional alcohol/aldehyde dehydrogenase', 'CHY1186', 'class I ADH', 'class I ALDH', 'class II ADH', 'class III ADH', 'class III alcohol dehydrogenase', 'class IV ADH', 'Cm-ADH2', 'Cthe_0423', 'DADH', 'dehydrogenase, alcohol', 'ethanol dehydrogenase', 'FALDH', 'FDH', 'Gastric alcohol dehydrogenase', 'Glutathione-dependent formaldehyde dehydrogenase', 'GSH-FDH', 'HLAD', 'HpADH3', 'HtADH', 'HvADH1', 'HVO_2428', 'iron-containing alcohol dehydrogenase', 'KlADH4', 'KlDH3', 'KmADH3', 'KmADH4', 'long-chain alkyl alcohol dehydrogenase', 'LSADH', 'medium chain alcohol dehydrogenase', 'medium-chain NAD+-dependent ADH', 'medium-chain secondary alcohol dehydrogenase', 'MGD', 'NAD(H)-dependent alcohol dehydrogenase', 'NAD+-ADH', 'NAD+-dependent (S)-stereospecific alcohol dehydrogenase', 'NAD+-dependent alcohol dehydrogenase', 'NAD+-dependent SDR', 'NAD+-linked alcohol dehydrogenase 1', 'NAD+-linked methylglyoxal dehydrogenase', 'NAD-dependent alcohol dehydrogenase', 'NAD-dependent medium-chain ADH', 'NAD-specific aromatic alcohol dehydrogenase', 'NADH-alcohol dehydrogenase', 'NADH-aldehyde dehydrogenase', 'NADH-dependent alcohol dehydrogenase', 'Octanol dehydrogenase', 'Pcal_1311', 'PF0991 protein', 'PF1960', 'PFADH', 'primary alcohol dehydrogenase', 'Retinol dehydrogenase', 'SaADH', 'SaADH2', 'Saci_1232', 'SADH', 'SCAD', 'sec-ADH A', 'short-chain ADH', 'short-chain dehydrogenase/reductase', 'short-chain NAD(H)-dependent dehydrogenase/reductase', 'SSADH', 'SsADH-10', 'SSO2536', 'ST0053', 'Ta1316 ADH', 'TaDH', 'TBADH', 'Teth39_0206', 'Teth39_0218', 'Teth514_0627', 'TK0845', 'Tsac_0416', 'Y-ADH', 'YADH', 'YADH-1', 'yeast alcohol dehydrogenase', 'YLL056C']"
1,1.1.1.10,"['1.1.1.10', 'DCXR', 'dicarbonyl/L-xylulose reductase', 'L-xylulose reductase', 'LXR3', 'More', 'NAD(P)H-dependent xylose reductase', 'NADP(+)-dependent xylitol dehydrogenase', 'NADP(H)-preferring xylitol dehydrogenase', 'NADP+-dependent xylitol dehydrogenase', 'NADP+-linked xylitol dehydrogenase', 'P31h', 'P34H', 'reductase, L-xylulose', 'XDH', 'XR', 'xylitol dehydrogenase', 'xylitol:NADP+ 4-oxidoreductase (L-xylulose-forming)', 'xylose reductase']"
2,1.1.1.100,"['(3R)-3-hydroxyacyl-[acyl-carrier protein]:NADP+ oxidoreductase', '1.1.1.100', '3-ketoacyl acyl carrier protein reductase', '3-ketoacyl-(acyl-carrier-protein) reductase', '3-ketoacyl-ACP reductase', '3-ketoacyl-ACP reductase/3R-hydroxyacyl-CoA dehydrogenase', '3-ketoacyl-ACP(CoA) reductase', '3-ketoacyl-acyl carrier protein reductase', '3-ketoacyl-thioester reductase', '3-ketoacyl-[acyl-carrier-protein] reductase', '3-oxo-acyl-ACP reductase', '3-oxoacyl-(acyl carrier protein) reductase', '3-oxoacyl-(acyl-carrier-protein) reductase', '3-oxoacyl-ACP reductase', '3-oxoacyl-AcpM reductase', '3-oxoacyl-thioester reductase', '3-oxoacyl-[ACP]reductase', '3-oxoacyl-[acyl-carrier-protein] reductase', 'ACP reductase', 'beta-ketoacyl acyl carrier protein (ACP) reductase', 'beta-ketoacyl acyl carrier protein reductase', 'beta-ketoacyl reductase', 'beta-ketoacyl thioester reductase', 'beta-ketoacyl-(acyl carrier protein) reductase', 'beta-ketoacyl-ACP reductase', 'beta-ketoacyl-acyl carrier protein reductase', 'beta-ketoacyl-[acyl carrier protein] reductase', 'beta-ketoacyl-[acyl-carrier protein] (ACP) reductase', 'BKR', 'FabG', 'FabG1', 'fabG4', 'KACPR', 'KAR', 'KCR1', 'KCR2', 'ketoacyl-acyl carrier protein reductase', 'MabA', 'MSMEG_6753', 'NADPH-dependent acetoacetyl coenzyme A reductase', 'NADPH-specific 3-oxoacyl-[acylcarrier protein]reductase', 'OAR', 'OAR1', 'Oar1p', 'PHA-specific acetoacetyl-CoA reductase', 'PhaB', 'polyhydroxyalkanoate-specific acetoacetyl coenzyme A reductase', 'reductase, 3-oxoacyl-[acyl carrier protein]', 'RhlG']"
3,1.1.1.101,"['1-acylglycerol-3-phosphate:NADP+ oxidoreductase', '1-palmitoylglycerol-3-phosphate:NADP+ oxidoreductase', '1.1.1.101', 'acyl/alkyl dihydroxyacetone-phosphate reductase', 'acyldihydroxyacetone phosphate reductase', 'acyldihydroxyacetone-phosphate oxidoreductase', 'acyldihydroxyacetone-phosphate:NADPH oxidoreductase', 'acylglycerone-phosphate reductase', 'palmitoyl dihydroxyacetone phosphate reductase', 'palmitoyl-dihydroxyacetone-phosphate reductase', 'palmitoyldihydroxyacetone-phosphate reductase', 'reductase, palmitoyl dihydroxyacetone phosphate']"
4,1.1.1.102,"['1.1.1.102', '3-dehydrosphinganine reductase', '3-KDS reductase', '3-ketodihydrosphingosine reductase', '3-ketosphinganine reductase', '3-oxosphinganine reductase', '3-oxosphinganine:NADPH oxidoreductase', '3KDSR', 'D-3-dehydrosphinganine reductase', 'D-3-oxosphinganine reductase', 'D-3-oxosphinganine:B-NADPH oxidoreductase', 'D-erythro-dihydrosphingosine:NADP+ 3-oxidoreductase', 'DSR', 'FVT-1', 'Fvt1', 'h-FTV-1', 'KDS reductase', 'Ksr1p', 'KsrA', 'm-FTV-1', 'More', 'TSC10', 'TSC10A', 'Tsc10p']"
5,1.1.1.103,"['1.1.1.103', 'CLOST_1621', 'L-ThrDH', 'L-threonine 3-dehydrogenase', 'L-threonine dehydrogenase', 'L-threonine:NAD+ oxidoreductase', 'More', 'orf382', 'TDG', 'TDH', 'Thr dehydrogenase', 'ThrDH', 'threonine 3-dehydrogenase', 'threonine dehydrogenase']"
6,1.1.1.104,"['1.1.1.104', '4-hydroxy-L-proline:NAD+ oxidoreductase', '4-oxoproline reductase', 'hydroxy-L-proline oxidase']"
7,1.1.1.105,"['1.1.1.105', 'ADH', 'alcohol dehydrogenase', 'all-trans retinol dehydrogenase', 'all-trans retinol:NAD+ oxidoreductase', 'all-trans-retinol dehydrogenase', 'all-trans-retinol dehydrogenase (NAD+)', 'dehydrogenase, retinol', 'DHRS9', 'epidermal retinol dehydrogenase 2', 'LOC100185899', 'MDR', 'microsomal retinol dehydrogenase', 'mRDH1', 'NAD+-dependent retinoid-active short-chain dehydrogenase/reductase', 'P32', 'PDHC', 'photoreceptor retinol dehydrogenase isoform C', 'RDH-E2', 'RDH-like SDR', 'Rdh1', 'RDH10', 'RDH10a', 'RDH10b', 'RDH10c', 'RDH12', 'RDH16', 'RDH2', 'RDH7', 'RDH8', 'RDHE2', 'RDHE2S', 'RDHL', 'retinal reductase', 'retinene reductase', 'retinoid dehydrogenase/reductase', 'retinol dehydrogenase (vitamin A1)', 'retinol dehydrogenase 10', 'retinol dehydrogenase 12', 'retinol dehydrogenase 2', 'retinol dehydrogenase 4', 'retinol dehydrogenase epidermal 2-similar', 'RL-HSD', 'RoDH-4', 'RoDH-like 3alpha-hydroxysteroid dehydrogenase', 'RoDH4', 'SDR16C5', 'SDR16C6', 'XP_2120364']"
8,1.1.1.106,"['(R)-pantoate:NAD+ 4-oxidoreductase', '1.1.1.106', 'D-pantoate:NAD+ 4-oxidoreductase', 'pantoate 4-dehydrogenase', 'pantoate dehydrogenase', 'pantothenase']"
9,1.1.1.107,"['1.1.1.107', 'PLDH', 'pyridoxal 4-dehydrogenase', 'pyridoxal dehydrogenase', 'pyridoxal:NAD+ 4-oxidoreductase']"
10,1.1.1.108,"['1.1.1.108', 'carnitine 3-dehydrogenase', 'carnitine:NAD+ 3-oxidoreductase', 'Cdh', 'CDHA', 'CDHB', 'CDHC', 'CDHR', 'L-(-)-carnitine dehydrogenase', 'L-carnitine dehydrogenase', 'L-CDH']"
11,1.1.1.109,"['1.1.1.109', '2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase']"
12,1.1.1.11,"['1.1.1.11', 'aArDH', 'arabitol dehydrogenase', 'D-arabinitol 4-dehydrogenase', 'D-arabinitol:NAD+ 4-oxidoreductase', 'D-arabitol dehydrogenase', 'D-xylulose-forming D-arabitol dehydrogenase', 'dehydrogenase, D-arabinitol']"
13,1.1.1.110,"['(indol-3-yl)lactate:NAD+ oxidoreductase', '(R)-aromatic lactate dehydrogenase', '1.1.1.110', 'aromatic 2-oxoacid reductase', 'aromatic 2-oxoacid:NAD+ oxidoreductase', 'D-aryllactate D-hydrogenase', 'indolelactate dehydrogenase']"
14,1.1.1.111,"['(S)-3-(imidazol-5-yl)lactate:NAD(P)+ oxidoreductase', '1.1.1.111', '3-(imidazol-5-yl)lactate dehydrogenase', 'imidazol-5-yl lactate dehydrogenase']"
15,1.1.1.112,"['1.1.1.112', 'indan-1-ol:NAD(P)+ 1-oxidoreductase', 'indanol dehydrogenase']"
16,1.1.1.113,"['1.1.1.113', 'L-xylose 1-dehydrogenase', 'L-xylose dehydrogenase', 'L-xylose:NADP+ 1-oxidoreductase', 'NADPH-preferring xylose reductase', 'NADPH-xylose reductase', 'xylose reductase']"
17,1.1.1.114,"['1.1.1.114', 'apiose 1-reductase', 'D-apiitol reductase', 'D-apiitol:NAD+ 1-oxidoreductase', 'D-apiose reductase']"
18,1.1.1.115,"['1.1.1.115', 'D-ribose dehdrogenase (nicotinamide adenine dinucleotide phosphate)', 'D-ribose dehydrogenase (NADP+)', 'D-ribose:NADP+ 1-oxidoreductase', 'dehydrogenase, ribose (nicotinamide adenine dinucleotide phosphate)', 'NADP-pentose-dehydrogenase', 'ribose 1-dehydrogenase (NADP+)', 'SDR', 'short chain dehydrogenase/reductase']"
19,1.1.1.116,"['1.1.1.116', 'ARA', 'ARA1', 'Ara2p', 'arabinose(fucose)dehydrogenase', 'D-arabinose 1-dehydrogenase (NAD+)', 'D-arabinose dehydrogenase', 'D-arabinose:NAD+ 1-oxidoreductase', 'dehydrogenase, D-arabinose', 'NAD(+)-specific D-arabinose dehydrogenase', 'NAD-pentose-dehydrogenase']"
20,1.1.1.117,"['1.1.1.117', 'ARA1', 'D-arabinose 1-dehydrogenase [NAD(P)+]', 'D-arabinose dehydrogenase', 'D-arabinose:NAD(P)+ 1-oxidoreductase', 'dehydrogenase, D-arabinose (nicotinamide adenine dinucleotide (phosphate))']"
21,1.1.1.118,"['1.1.1.118', 'D-aldohexose dehydrogenase', 'D-glucose:NAD oxidoreductase', 'D-glucose:NAD+ 1-oxidoreductase', 'dehydrogenase, glucose (nicotinamide adenine dinucleotide)', 'GDH', 'GDH1', 'glucose 1-dehydrogenase (NAD+)', 'glucose dehydrogenase']"
